nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,01KGCYCDG3FJ8D6GCZTDEX2YST,63064984,2026,E-Katalog 6.0,APBN,SATRIA SUARDIPTA ABADI,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Keamanan Pelabuhan,ON PROCESS,453376000,453376000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10769054000,63064985,2026,Non Tender,APBN,cv.karunia alam,Pengadaan Langsung,Jasa Lainnya,Pengadaan Jasa Operasional  e - ticketing Pelabuhan,SELESAI,174700000,174700000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10760741000,63841729,2026,Non Tender,APBN,CV. PARADISE COORP,Pengadaan Langsung,Pekerjaan Konstruksi,Pemeliharaan Gedung/Bangunan Kantor Bertingkat (Aceh)  (Rehab Plafon ACP Gedung B Pelabuhan Balohan),SELESAI,361909146,361909146
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10936083000,67391741,2026,Non Tender,APBN,CV. PARADISE COORP,Pengadaan Langsung,Pekerjaan Konstruksi,Pemeliharaan Gedung Kantor Perwakilan Banda Aceh,BERLANGSUNG,94700883,94700883
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10149436000,67240277,2026,Tender,APBN,,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Pembangunan Jalan Keliling Pelabuhan Penyeberangan Balohan,BERLANGSUNG,181650600,181650600
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10923324000,67360363,2026,Non Tender,APBN,CV. Ryan Amanda,Pengadaan Langsung,Pekerjaan Konstruksi,Rehab Lantai MB 1 Dermaga Kapal Roro,SELESAI,90152783,90152783
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10148760000,67240276,2026,Tender,APBN,,Tender,Pekerjaan Konstruksi,Pembangunan Jalan Keliling Pelabuhan Penyeberangan Balohan,BERLANGSUNG,1581175437,1581175437
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,01KEXAVYVJFADWGP88YXQ9C5M8,63064986,2026,E-Katalog 6.0,APBN,WARNA ALAM SABANG,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Kebersihan Pelabuhan,ON PROCESS,406000200,406000200
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,01KFB5PTKCX0Z9C9042Z1KWFBB,63064986,2026,E-Katalog 6.0,APBN,WARNA ALAM SABANG,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Kebersihan Pelabuhan,ON PROCESS,35710000,35710000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG - 683499,10769465000,65034988,2026,Non Tender,APBN,CV. USAHA ATA GATA,Pengadaan Langsung,Jasa Lainnya,Sewa Kendaraan Roda 4 Kantor Perwakilan BPKS Banda Aceh (Aceh),SELESAI,154000000,154000000
