nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB NGANJUK - 019461,10905026000,67060751,2026,Pencatatan,APBN,Gavin Cell,Pengadaan Langsung,Pengadaan Barang,2899_Paket data pendataan SKNP,PAKET SEDANG BERJALAN,35000,0
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB JEMBER - 019372,10848896000,62659160;62659163,2026,Pencatatan,APBN,"Telkom, Telkom",Dikecualikan,Jasa Lainnya,"Belanja Langganan Telepon,Koneksi internet",PAKET SELESAI,2880894,2880894
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB. KARANGASEM - 429250,01KFA0YSWP6HDGAFGXRY7M5XN6,63632795,2026,E-Katalog 6.0,APBN,LORENA STORE,E-Purchasing,Barang,perlengkapan petugas pelatihan petugas susenas maret,PAYMENT OUTSIDE SYSTEM,3299997,3299997
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KOTA SERANG - 673559,10911441000,65623681,2026,Pencatatan,APBN,,Pengadaan Langsung,Pengadaan Barang,pencetakan dokumen pelatihan petugas Survei Angkatan Kerja Nasional februari,PAKET SELESAI,2249415,2249415
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB KAMPAR - 428108,10910687000,62352814,2026,Pencatatan,APBN,,Pengadaan Langsung,Pengadaan Barang,Belanja Langganan Listrik,PAKET SELESAI,203600,203600
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB. SLEMAN - 019213,01KWTV539ZMWQSQV7BQAPTVNTS,67330282,2026,E-Katalog 6.0,APBN,METRA - NET,E-Purchasing,Jasa Lainnya,Biaya Paket Data dan Komunikasi  Pelaksanaan SE2026,ON PROCESS,104700000,104700000
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB. BARITO KUALA - 428562,01KHWVNZH9XFCJ3J5GV8BWNXWQ,64199373,2026,E-Katalog 6.0,APBN,LORENA STORE,E-Purchasing,Barang,biaya paket data pengumpulan data kerangka sampel area (ksa) jagung,COMPLETED,150000,150000
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KAB. BONE - 428902,01KSH6XX95QYMP67FEJY4NPZEP,67209950,2026,E-Katalog 6.0,APBN,MAPETA,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard pelatihan petugas pendataan,COMPLETED,650250000,650250000
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROP SULAWESI SELATAN - 428820,10894111000,66341248,2026,Pencatatan,APBN,"CV. Flash Computer, HND Computer, Jameson's",Pengadaan Langsung,Jasa Lainnya,"Pemeliharaan jaringan listrik, telepon dan komputer",PAKET SEDANG BERJALAN,3527500,3527500
BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK KOTA MALANG - 019501,10828126000,63203947,2026,Pencatatan,APBN,Sidosemi Catering,Pengadaan Langsung,Pengadaan Barang,konsumsi pelatihan petugas Survei Angkatan Kerja Nasional Februari,PAKET SEDANG BERJALAN,1196000,1196000
