nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KOTA GORONTALO,RUMAH SAKIT ALOEI SABOEI - 1.02.1.02.1.02.02.0011,01KQ6RSZ92BJECWV3F3ZT73K8F,63845502,2026,E-Katalog 6.0,BLUD,AMANAH MEDDIS INDONESIA,E-Purchasing,Barang,BELANJA OBAT-OBATAN - OBAT-OBATAN LAINNYA,ON PROCESS,27192281,27192281
KOTA GORONTALO,RUMAH SAKIT ALOEI SABOEI - 1.02.1.02.1.02.02.0011,01KR2RQN7E5D6KKT83CCZ168H0,63752792,2026,E-Katalog 6.0,BLUD,ETHICA INDUSTRI FARMASI,E-Purchasing,Barang,BELANJA OBAT-OBATAN - OBAT,ON PROCESS,7903200,7903200
KOTA GORONTALO,"DINAS KOMUNIKASI, INFORMATIKA DAN PERSANDIAN - 2.16.2.21.2.20.03.0000",10879619000,63294020,2026,Pencatatan,APBD,,Pengadaan Langsung,Jasa Lainnya,Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum,PAKET SEDANG BERJALAN,11250000,11250000
KOTA GORONTALO,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.02.0000,01KMZC0S2F40FRS2ZH4C6KB69Q,66310772,2026,E-Katalog 6.0,APBD,NAAFI,E-Purchasing,Barang,Belanja Modal Peralatan Komputer Lainnya,ON PROCESS,30250003,30250003
KOTA GORONTALO,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,10329568000,42322859,2026,Swakelola,APBD,: BENDAHARA PENGELUARAN DLH KOTA GORONTALO,,,Belanja Lembur,PAKET SEDANG BERJALAN,3950000,0
KOTA GORONTALO,RSUD OTANAHA - 1.02.1.02.1.02.02.0012,01KRA7VH11D1BFWJ9QT8N8Z9A7,63704409,2026,E-Katalog 6.0,BLUD,SAMATOR INDO GAS,E-Purchasing,Barang," Belanja Bahan-Isi Tabung Gas (RSUD Otanaha)",ON PROCESS,44400000,44400000
KOTA GORONTALO,RUMAH SAKIT ALOEI SABOEI - 1.02.1.02.1.02.02.0011,01KWBV2TC84ZMSNW5WPH7153CX,63752792,2026,E-Katalog 6.0,BLUD,BERNOFARM,E-Purchasing,Barang,BELANJA OBAT-OBATAN - OBAT,ON PROCESS,616161,616161
KOTA GORONTALO,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,01KGP5MDRG1HTS986ZV2XY1FHM,63609945,2026,E-Katalog 6.0,APBD,MEGA MULIA BARU,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Administrasi,ON PROCESS,46726560,46726560
KOTA GORONTALO,BAGIAN UMUM - 4.01.0.00.0.00.01.0006,10849972000,63103195,2026,Pencatatan,APBD,"BEND PENGELOLA KEUANGAN, BEND PENGELOLA KEUANGAN, BEND PENGELOLA KEUANGAN",Pengadaan Langsung,Pengadaan Barang,Belanja Bahan Isi Tabung Gas KDH (Bagian Umum),PAKET SEDANG BERJALAN,1398000,1398000
KOTA GORONTALO,KELURAHAN LIBUO - 7.01.0.00.0.00.05.0001,10322349000,42211965,2026,Swakelola,APBD,,,,Belanja Jasa Pengelolaan BMD yang Tidak Menghasilkan Pendapatan,PAKET SEDANG BERJALAN,600000,0
KOTA GORONTALO,SEKRETARIAT DPRD - 4.02.0.00.0.00.01.0000,10325202000,42217448,2026,Swakelola,APBD,,,,Belanja Perjalanan Dinas Biasa,PAKET SEDANG BERJALAN,79688000,0
KOTA GORONTALO,BAGIAN ADMINISTRASI PEMBANGUNAN - 4.01.0.00.0.00.01.0002,10307843000,42090595,2026,Swakelola,APBD,Bagian Administrasi Pembangunan,,,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",PAKET SEDANG BERJALAN,1800000,0
KOTA GORONTALO,PUSKESMAS DUNGINGI - 1.02.1.02.1.02.02.0005,10904375000,63748405,2026,Pencatatan,APBD,,Dikecualikan,Pengadaan Barang,Belanja Obat-Obatan-Obat,PAKET SELESAI,2694993,0
KOTA GORONTALO,BADAN KEUANGAN DAN ASET DAERAH - 5.02.0.00.0.00.01.0000,01KGEHD8NKRH2WFEWGEZ7J9WT2,63615376,2026,E-Katalog 6.0,APBD,FANGKY Y. DAMBEA,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Keamanan (sekretariat),ON PROCESS,27500000,27500000
KOTA GORONTALO,DINAS KEARSIPAN DAN PERPUSTAKAAN - 2.23.2.24.0.00.02.0000,01KK87BYRFEBGZF9FBF72S90PM,66171410,2026,E-Katalog 6.0,APBD,HIKMAL RAMADHAN AKUBA,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Keamanan,ON PROCESS,10500000,10500000
KOTA GORONTALO,BADAN KESATUAN BANGSA DAN POLITIK - 8.01.0.00.0.00.01.0000,10947125000,64125839,2026,Pencatatan,APBD,,Pengadaan Langsung,Pengadaan Barang,Belanja Makanan dan Minuman Rapat FORKOPIMDA (Bidang 3),PAKET SEDANG BERJALAN,3000000,3000000
KOTA GORONTALO,DINAS KEARSIPAN DAN PERPUSTAKAAN - 2.23.2.24.0.00.02.0000,5555979,,2026,Tokodaring,,,E-Purchasing,Pengadaan Barang,,,711351,711351
KOTA GORONTALO,"DINAS KOMUNIKASI, INFORMATIKA DAN PERSANDIAN - 2.16.2.21.2.20.03.0000",01KG6FS26B59K72BP8EZEJ12K3,63293349,2026,E-Katalog 6.0,APBD,BARAKATI AKSARA NUSANTARA,E-Purchasing,Jasa Lainnya,Jasa Berita Media Online,ON PROCESS,17982000,17982000
KOTA GORONTALO,INSPEKTORAT - 6.01.0.00.0.00.01.0000,10344951000,42024796,2026,Swakelola,APBD,Tim Reviu,,,Belanja Perjalanan Dinas Dalam Kota,PAKET SELESAI,19200000,0
KOTA GORONTALO,KELURAHAN TOMULABUTAO - 7.01.0.00.0.00.05.0002,10921839000,64164429,2026,Pencatatan,APBD,,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,PAKET SEDANG BERJALAN,1515700,1515700
KOTA GORONTALO,KECAMATAN KOTA UTARA - 7.01.0.00.0.00.04.0000,10292690000,42495695,2026,Swakelola,APBD,Kantor Camat Kota Utara,,,Belanja Iuran Jaminan Kecelakaan Kerja bagi PPPK Paruh Waktu pada Jabatan Pengelola Layanan Operasional,PAKET DIBATALKAN,8888,0
KOTA GORONTALO,RUMAH SAKIT ALOEI SABOEI - 1.02.1.02.1.02.02.0011,01KV4T4Y52205FZMJ77HS1119D,63752792,2026,E-Katalog 6.0,BLUD,BERNOFARM,E-Purchasing,Barang,BELANJA OBAT-OBATAN - OBAT,ON PROCESS,16233750,16233750
KOTA GORONTALO,RUMAH SAKIT ALOEI SABOEI - 1.02.1.02.1.02.02.0011,01KNV8HMYJW226KXJFFC4KECXD,63752792,2026,E-Katalog 6.0,BLUD,HEXPHARM JAYA LABORATORIES,E-Purchasing,Barang,BELANJA OBAT-OBATAN - OBAT,ON PROCESS,7703400,7703400
KOTA GORONTALO,KECAMATAN KOTA UTARA - 7.01.0.00.0.00.04.0000,10318741000,42495696,2026,Swakelola,APBD,"Kantor Camat Kota Utara, Kantor Camat Kota Utara, Kantor Camat Kota Utara",,,Belanja Iuran Jaminan Kecelakaan Kerja bagi PPPK Paruh Waktu pada Jabatan Penata Layanan Operasional,PAKET SEDANG BERJALAN,244420,0
