nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KOTA MAKASSAR,DINAS PEKERJAAN UMUM - 1.03.0.00.0.00.01.0000,01KT3CSCWVNQEV83WMP853S5RS,65034562,2026,E-Katalog 6.0,APBD,SAMMAN SEJAHTERA,E-Purchasing,Barang,Belanja Suku Cadang-Suku Cadang Alat Angkutan,ON PROCESS,494083200,494083200
KOTA MAKASSAR,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,01KQBKYBM03XZ1A4FF8DJYG4MQ,62721336,2026,E-Katalog 6.0,APBD,PANTERO SELARAS UTAMA,E-Purchasing,Barang,Belanja Modal Mesin Bor,ON PROCESS,11111100,11111100
KOTA MAKASSAR,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,10800780000,63673476,2026,Non Tender,APBD,CV. TRI PUTRA JAYA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat – Pemugaran Kawasan Permukiman Kumuh – Perencanaan RTLH Paket 2 (Biaya Perencanaan Konstruksi),SELESAI,95443350,95443350
KOTA MAKASSAR,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KJVRM3AFF0HP20KT48N9ZYQM,62418522,2026,E-Katalog 6.0,APBD,DIAZ GLOBAL MULIA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,911310,911310
KOTA MAKASSAR,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU - 2.18.0.00.0.00.01.0000,01KQDZ6CQ9M5F4ZWDKS41HBPYK,62417415,2026,E-Katalog 6.0,APBD,BILUHU TENGAH PERMAI,E-Purchasing,Barang,Belanja Natura dan Pakan-Natura,ON PROCESS,41522100,41522100
KOTA MAKASSAR,DINAS PARIWISATA - 3.26.0.00.0.00.01.0000,01KJRMV658NZ8Q7AQW0H7TPEBH,62277581,2026,E-Katalog 6.0,APBD,ERATEHNIK 97,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Jamuan Tamu,ON PROCESS,47000000,47000000
KOTA MAKASSAR,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,01KPYG0KRPF3GVRYDWZ5BWDB5W,62239092,2026,E-Katalog 6.0,APBD,SORAYA KULINA ABADI,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat,ON PROCESS,58300000,58300000
KOTA MAKASSAR,DINAS PEKERJAAN UMUM - 1.03.0.00.0.00.01.0000,10807791000,62412534,2026,Non Tender,APBD,CV. SABANA HARSA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Modal Bangunan Air Kotor Lainnya Perencanaan Rehabilitasi Sistem Drainase Perkotaan Paket 4,SELESAI,96579990,96579990
KOTA MAKASSAR,SATUAN POLISI PAMONG PRAJA - 1.05.0.00.0.00.01.0000,01KMQ3505H8VS17B8A7G3RB8JT,65677101,2026,E-Katalog 6.0,APBD,PUTRI TONYAMANG,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Aktivitas Lapangan,ON PROCESS,47268000,47268000
KOTA MAKASSAR,BADAN PERENCANAAN PEMBANGUNAN DAERAH - 5.01.0.00.0.00.01.0000,01KH5XYWTWY6B0GC8N3DXXGYJ1,62571944,2026,E-Katalog 6.0,APBD,ARIL TEKNIK,E-Purchasing,Jasa Lainnya,Belanja Pemeliharaan Komputer-Peralatan Komputer-Peralatan Personal Computer,ON PROCESS,47600000,47600000
KOTA MAKASSAR,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,01KP7M8RV42FCMS5YN196RYN95,62201396,2026,E-Katalog 6.0,APBD,ALFARIZKI PUTRA PERTAMA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,20349900,20349900
KOTA MAKASSAR,BADAN PENANGGULANGAN BENCANA DAERAH - 1.05.0.00.0.00.03.0000,01KT3DHF5RY5Q8XZFFQX2WMNJS,67001707,2026,E-Katalog 6.0,APBD,SKYSTUDIOS PROJECT,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,ON PROCESS,173526300,173526300
KOTA MAKASSAR,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KPZ69HBY21Z06X8VCH87T3S2,66886541,2026,E-Katalog 6.0,BLUD,MULTI KARYA UKHUWAH,E-Purchasing,Jasa Lainnya,Belanja Barang dan Jasa BLUD,ON PROCESS,39095000,39095000
KOTA MAKASSAR,DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.01.0000,01KTNMY88Z5ESSHTVWFMB4NVKJ,62411515,2026,E-Katalog 6.0,APBD,GEMILANG ADHI KREASINDO,E-Purchasing,Jasa Lainnya,Belanja Sewa Mebel,ON PROCESS,13900000,13900000
KOTA MAKASSAR,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,01KTR5GV9FKW0NQY39JRSNKQYK,62418396,2026,E-Katalog 6.0,APBD,WIDYA KAYANA,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat,ON PROCESS,53235000,53235000
KOTA MAKASSAR,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,01KRCVN8BQA1XX9NMZP5P4KX0K,62253471,2026,E-Katalog 6.0,APBD,MUSTEL MEDIA MANAGEMENT,E-Purchasing,Jasa Lainnya,"Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",ON PROCESS,4551000,4551000
