nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
PROVINSI SULAWESI TENGAH,UPT KPH TEPO ASA AROA - 3.28.0.00.0.00.01.0011,01KWGXEHY5HH2Q2YQM8V7X0C3M,67312000,2026,E-Katalog 6.0,APBD,SONGGOMPUASI ID,E-Purchasing,Barang,Belanja bahan persemaian - Paranet,ON PROCESS,1015000,1015000
PROVINSI SULAWESI TENGAH,BIRO UMUM PADA SEKRETARIAT DAERAH PROVINSI SULAWESI TENGAH - 4.01.0.00.0.00.01.0001,01KX09ZA0PRQYYVZDJZH60JZSJ,67298458,2026,E-Katalog 6.0,APBDP,KAMPOENG NELAYAN,E-Purchasing,Jasa Lainnya,Makanan dan Minuman Tamu Kegiatan/Acara ,ON PROCESS,13000000,13000000
PROVINSI SULAWESI TENGAH,DINAS PENDIDIKAN DAERAH PROVINSI SULAWESI TENGAH - 1.01.0.00.0.00.01.0000,01KT8PMJZWTPXCAQ4YD2QV2RKQ,67220313,2026,E-Katalog 6.0,APBD,ANA TAMA KREATIF,E-Purchasing,Jasa Lainnya," 	Belanja Jasa Iklan/Reklame, Film, dan Pemotretan",ON PROCESS,499500000,499500000
PROVINSI SULAWESI TENGAH,DINAS BINA MARGA DAN PENATAAN RUANG PROVINSI SULAWESI TENGAH - 1.03.0.00.0.00.01.0000,01KPZFF82WPQAMXQCGV6H87QZ4,66280909,2026,E-Katalog 6.0,APBD,SURYA LIMA PERKASA,E-Purchasing,Pekerjaan Konstruksi,Rekonstruksi Jalan Ruas Sp. Lampasio - Muliasari (MYC),ON PROCESS,62812568441,62812568441
PROVINSI SULAWESI TENGAH,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH PROVINSI SULAWESI TENGAH - 2.17.0.00.0.00.01.0000",01KVVPJNRFEWZPBB0E0Q9375V1,67234798,2026,E-Katalog 6.0,APBD,RIZKIA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,1462000,1462000
PROVINSI SULAWESI TENGAH,DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK PROVINSI SULAWESI TENGAH - 2.08.0.00.0.00.01.0000,01KN1F1GYX1CNQFQT62QV0ZVB2,66112735,2026,E-Katalog 6.0,APBD,ANUGERAH BERSAMA GRUP,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Pelayanan Umum,ON PROCESS,7180000,7180000
PROVINSI SULAWESI TENGAH,BIRO ADMNISTRASI PIMPINAN PADA SEKRETARIAT DAERAH PROVINSI SULAWESI TENGAH - 4.01.0.00.0.00.01.0009,01KKG6XG6K1QM8NT5S0APQSVZB,66100538,2026,E-Katalog 6.0,APBD,MEDIA SULAWESI TERKINI,E-Purchasing,Jasa Lainnya,Media Massa Cetak,ON PROCESS,7200000,7200000
PROVINSI SULAWESI TENGAH,RSUD UNDATA PROVINSI SULAWESI TENGAH - 1.02.0.00.0.00.01.0001,01KP0PB2VA2WVCGP5H450ZVPVG,65823345,2026,E-Katalog 6.0,BLUD,TRIFA RAYA LABORATORIES,E-Purchasing,Barang,Belanja Obat-obatan,ON PROCESS,2175600,2175600
PROVINSI SULAWESI TENGAH,"DINAS KOMUNIKASI, INFORMATIKA, PERSANDIAN DAN STATISTIK PROVINSI SULAWESI TENGAH - 2.16.2.21.2.20.01.0000",01KNQZ3JKTF230H1H99C2THKVQ,66130152,2026,E-Katalog 6.0,APBD,SABDA GLOBAL,E-Purchasing,Barang,Belanja Modal Alat Kantor Lainnya,PAYMENT OUTSIDE SYSTEM,20202000,20202000
PROVINSI SULAWESI TENGAH,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH PROVINSI SULAWESI TENGAH - 2.17.0.00.0.00.01.0000",01KJYCW88K9C2077M7NN52RFMR,65594210,2026,E-Katalog 6.0,APBD,DIANDA PESONA ABADI,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik,PAYMENT OUTSIDE SYSTEM,5251410,5251410
PROVINSI SULAWESI TENGAH,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH PROVINSI SULAWESI TENGAH - 5.02.0.00.0.00.02.0000,01KRFR74EFNYW2MZ35HBHQYR2T,66199607,2026,E-Katalog 6.0,APBDP,MIRSA LESTARI,E-Purchasing,Barang,Belanja Modal Alat Rumah Tangga Lainnya (Home Use) Pada Sub Kegiatan Pengadaan Peralatan dan Mesin Lainnya,ON PROCESS,63691800,63691800
PROVINSI SULAWESI TENGAH,RSUD MADANI PROVINSI SULAWESI TENGAH - 1.02.0.00.0.00.01.0002,01KP5FXPG16N2SB9192K4ZCX0Y,65925353,2026,E-Katalog 6.0,BLUD,KALBE FARMA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD - Belanja Bahan Obat Obatan,ON PROCESS,22449750,22449750
PROVINSI SULAWESI TENGAH,BADAN KESATUAN BANGSA DAN POLITIK DAERAH PROVINSI SULAWESI TENGAH - 8.01.0.00.0.00.01.0000,01KRZ4H3J8B7569V4DZT5A26G6,66347642,2026,E-Katalog 6.0,APBD,BASHINTA,E-Purchasing,Barang,Tinta Printer,ON PROCESS,3048750,3048750
