nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. MURUNG RAYA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN - 1.04.2.10.0.00.02.0000,01KSHS9GEAKFFVYF02KAZRRDTT,67066331,2026,E-Katalog 6.0,APBD,AMITRIANI ASTION,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Kebersihan. A01,ON PROCESS,17619756,17619756
KAB. MURUNG RAYA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN - 1.04.2.10.0.00.02.0000,10789358000,65752639,2026,Non Tender,APBD,CV. ARCHIGAMA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Peningkatan Jalan Lingkungan Jalan Desa Tahujan Ontu Rt.1 (Lanjutan),SELESAI,67850000,67850000
KAB. MURUNG RAYA,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10894791000,63943219,2026,Non Tender,APBD,CV.Zeeshan,Pengadaan Langsung,Pekerjaan Konstruksi,Peningkatan Sarana dan Prasarana Halaman Kantor Polres,SELESAI,83800000,83800000
KAB. MURUNG RAYA,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,01KJC9VVMDHAQPX8M74Z3VPD0B,65784439,2026,E-Katalog 6.0,APBD,FEBRY VERONICA,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Kebersihan 26 Pada Sub Kegiatan Penyediaan Jasa Pelayanan Umum Kantor 1 orang x 10 bulan,ON PROCESS,25293000,25293000
KAB. MURUNG RAYA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KKJYVSV9CN7V3X7QF4Y44VCM,65450874,2026,E-Katalog 6.0,APBD,AGRES MEDAN TEKNOLOGI,E-Purchasing,Barang,Pengadaan Scanner,ON PROCESS,11741001,0
KAB. MURUNG RAYA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN - 1.04.2.10.0.00.02.0000,10878972000,66107205,2026,Non Tender,APBD,CV INSAN BINTANG NUSANTARA,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Drainase KM 4 Desa Dirung Lingkin,SELESAI,74300000,74300000
KAB. MURUNG RAYA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KW93QH6XK0VFECJVTGQCC2KY,67281556,2026,E-Katalog 6.0,APBD,MULIA MEDIKA ALKESINDO,E-Purchasing,Barang,Pengadaan Alat Kesehatan (TDF 2023),ON PROCESS,4995000,0
KAB. MURUNG RAYA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01KQBDQEBSDZ8V4BDAK2S49YPP,66034825,2026,E-Katalog 6.0,APBD,PADARINGAN SAKTI,E-Purchasing,Barang,Belanja Kertas dan Cover Sub Kegiatan Fasilitasi Penyusunan Program Pembangunan,PAYMENT OUTSIDE SYSTEM,27453408,27453408
KAB. MURUNG RAYA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KK7ZT8VCFN5BHBMBPTT9P0D2,65455804,2026,E-Katalog 6.0,APBD,SUSI,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Kebersihan 13,ON PROCESS,25171090,25171090
KAB. MURUNG RAYA,UPTD RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.01.0001,01KWXWZJYGMZWYG8W21MZSN7V1,67307734,2026,E-Katalog 6.0,APBD,MITRA MERDEKA SEMBADA,E-Purchasing,Barang,Belanja Modal Alat Kedokteran Umum - REFLEX HAMMER (TDF 2023),ON PROCESS,535695,535695
