nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. BENER MERIAH,"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET - 5.02.0.00.0.00.04.0000",01KQ95FDMQRVWHCVDSM3NT3C4X,66410263,2026,E-Katalog 6.0,APBD,JALIN INTI MANDIRI,E-Purchasing,Barang,Belanja Pengadaan Komputer PC,ON PROCESS,94905000,0
KAB. BENER MERIAH,"BADAN PENGELOLAAN KEUANGAN, PENDAPATAN DAN ASET - 5.02.0.00.0.00.04.0000",01KQA6QD1TB2F9Z1P2J94PWW55,66410261,2026,E-Katalog 6.0,APBD,JALIN INTI MANDIRI,E-Purchasing,Barang,Belanja TV,ON PROCESS,29981100,0
KAB. BENER MERIAH,SEKRETARIAT DAERAH KABUPATEN BENER MERIAH - 4.01.0.00.0.00.01.0000,01KWV6DAMB0HQSAH5N900KBERJ,66726214,2026,E-Katalog 6.0,APBD,MAHMUDDIN,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Persediaan Dokumen/Administrasi Tender,ON PROCESS,399600,399600
KAB. BENER MERIAH,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KPSTZ1XZA3XGVQP3FEP92S2G,66469995,2026,E-Katalog 6.0,APBD,MEPROFARM,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,1939958,1939958
KAB. BENER MERIAH,"DINAS PEKERJAAN UMUM, PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.03.1.04.0.00.01.0000",10908446000,66169369,2026,Non Tender,APBD,CV.KINARA ENGINEER,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Biaya Perencanaan Pembangunan TPT Pinggir Jalan Kampung Delung Tue dan Kampung Pilar Jaya Kecamatan Bukit,SELESAI,3701000,3701000
KAB. BENER MERIAH,SEKRETARIAT DPRK KABUPATEN BENER MERIAH - 4.02.0.00.0.00.01.0000,01KQD39QNG8AC3ZVK59596H3YR,66428971,2026,E-Katalog 6.0,APBD,KARDIANI,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,ON PROCESS,45000000,45000000
KAB. BENER MERIAH,DINAS PERTANIAN DAN PANGAN - 3.27.2.09.3.25.10.0000,01KTDX5G14J9VGG89DKYA2J81C,66580418,2026,E-Katalog 6.0,APBD,BERKAH SABENA,E-Purchasing,Barang,Pengadaan Benih Ikan Lele,ON PROCESS,79500000,79500000
KAB. BENER MERIAH,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KRZ0RR9H1XWC8GYZEBRW0W1T,66499798,2026,E-Katalog 6.0,APBD,Cut Yuliana,E-Purchasing,Barang,Belanja Bahan-Bahan Lainnya,ON PROCESS,11240600,11240600
KAB. BENER MERIAH,RUMAH SAKIT UMUM DAERAH MUNYANG KUTE REDELONG - 1.02.0.00.0.00.01.0001,10834427000,66914002,2026,Non Tender,BLUD,CV. ANDAMAN KARYA PERDANA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Perencanaan Gedung KRIS JKN,SELESAI,49900050,49900050
KAB. BENER MERIAH,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KPQ24WJ3ZZ01R3FJSPADN9FN,66469578,2026,E-Katalog 6.0,APBD,GLOBAL PROMEDIKA SERVICES,E-Purchasing,Jasa Lainnya,Belanja Jasa Kalibrasi,ON PROCESS,57044898,57044898
