nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. JAYAPURA,DINAS KETAHANAN PANGAN - 2.09.3.27.0.00.11.0000,10819855000,66811206,2026,Non Tender,APBD,CV.WANYA CHRISMAX JAYA ABADI,Pengadaan Langsung,Pengadaan Barang,Belanja Natura dan Pakan-Natura,SELESAI,315573000,315573000
KAB. JAYAPURA,DINAS TANAMAN PANGAN DAN HORTIKULTURA - 3.27.0.00.0.00.24.0000,10901209000,66754830,2026,Non Tender,APBD,CV. BUSROY,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Jalan Produksi waibron,BERLANGSUNG,899732396,899732396
KAB. JAYAPURA,DINAS KOPERASI USAHA KECIL DAN MENENGAH - 2.17.0.00.0.00.18.0000,10840058000,65893516,2026,Non Tender,APBD,CV. CITRA PAPUA,Pengadaan Langsung,Pengadaan Barang,Pengadaan Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat - Peralatan Bagi Pelaku UMKM,SELESAI,231918960,231918960
KAB. JAYAPURA,SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH - 4.02.0.00.0.00.28.0000,10824284000,66860262,2026,Non Tender,APBD,CV. CHIANJ,Pengadaan Langsung,Jasa Lainnya,Penyediaan Jasa Pelayanan Umum Kantor,SELESAI,455217849,455217849
KAB. JAYAPURA,DINAS PEKEREJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.04.0000,10887796000,66572426,2026,Non Tender,APBD,CV. PUTRA PEGUNUNGAN PAPUA,Pengadaan Langsung,Pekerjaan Konstruksi,"Pengecoran Halaman Gereja GIDI Anugrah, Jl Sosial, Distrik Sentani",SELESAI,499792000,499792000
KAB. JAYAPURA,DINAS PERTANAHAN PERUMAHAN DAN KAWASAN PERMUKIMAN - 2.10.1.04.1.03.05.0000,10827177000,66592339,2026,Non Tender,APBD,CV. VALEZ KONSULTAN,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Perencanaan Pembangunan Rumah Type 45 M2 di Wilayah III,SELESAI,61094400,61094400
KAB. JAYAPURA,DINAS PERTANAHAN PERUMAHAN DAN KAWASAN PERMUKIMAN - 2.10.1.04.1.03.05.0000,10910653000,67313381,2026,Non Tender,APBD,CV.JUAN MITRA KONSULTAN,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Perencanaan Pembangunan Rumah Dewan Adat Suku di Wilayah III,BERLANGSUNG,104000000,104000000
KAB. JAYAPURA,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KK8A3XCB5QHR3QVN4611MC6Y,66059080,2026,E-Katalog 6.0,APBD,KINOTABI JAYA LESTARI,E-Purchasing,Barang,Belanja Modal Alat Kesehatan Umum Lainnya,ON PROCESS,296028120,296028120
KAB. JAYAPURA,DINAS KOMUNIKASI DAN INFORMATIKA - 2.16.2.20.2.21.17.0000,01KVQNMWK2M5JHJYBM9SV4M37X,67331061,2026,E-Katalog 6.0,APBD,SHANGKURIANG TELEKOMUNIKASI INDONESIA,E-Purchasing,Jasa Lainnya,Pemasangan Penguatan Signal,ON PROCESS,151490003,151490003
KAB. JAYAPURA,DINAS PEKEREJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.04.0000,10881095000,66406973,2026,Non Tender,APBD,BHUYAKHA PAPUA JAYA,Pengadaan Langsung,Pekerjaan Konstruksi,"Pembuatan Sumur Air Dangkal Individual Di Kelurahan Hinekombe, Distrik Sentani",SELESAI,199900000,199900000
KAB. JAYAPURA,DINAS PENDIDIKAN - 1.01.2.22.0.00.01.0000,10847623000,66572174,2026,Non Tender,APBD,CV. AK ARCHITECTH,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Pembangunan Ruang Kelas Baru SD Negeri Benggwin Progo Kelas Jauh Distrik Kemtuk,SELESAI,34700000,34700000
KAB. JAYAPURA,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KN11PRSPAT9X54QTBJRA1KZ7,66059078,2026,E-Katalog 6.0,APBD,NANGGALA MEGANTARA,E-Purchasing,Barang,Belanja Modal Kendaraan Bermotor Khusus,ON PROCESS,43956000,43956000
KAB. JAYAPURA,DINAS PERKEBUNAN DAN PETERNAKAN - 3.27.0.00.0.00.25.0000,10841794000,66968447,2026,Non Tender,APBD,CV. DEFIKY PAPUA,Pengadaan Langsung,Pengadaan Barang,Belanja Bibit Kopi sebanyak 9.500 Pohon,SELESAI,227563000,227563000
KAB. JAYAPURA,DINAS PERTANAHAN PERUMAHAN DAN KAWASAN PERMUKIMAN - 2.10.1.04.1.03.05.0000,10123007000,66459072,2026,Tender,APBD,CV. PUTRA ADIWIPI,Tender,Pekerjaan Konstruksi,Pekerjaan Penataan Kawasan Lokasi FDS (Festival Danau Sentani),SELESAI,9625273208,9625273208
KAB. JAYAPURA,DINAS PEKEREJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.04.0000,01KT7070A5Y5GNWJ387K02YPWS,67062423,2026,E-Katalog 6.0,APBD,SHE MENT INDONESIA,E-Purchasing,Barang,Pengadaan Mobil Toilet Portable ,ON PROCESS,398490000,398490000
KAB. JAYAPURA,DINAS PEKEREJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.04.0000,10891061000,66572482,2026,Non Tender,APBD,CV. BU IRIM TAB,Pengadaan Langsung,Pekerjaan Konstruksi,"Peningkatan Ruas Jalan Masuk Pemandian Kali Biru, Berap, Distrik Nimbokrang",SELESAI,699979000,699979000
KAB. JAYAPURA,DINAS PENDIDIKAN - 1.01.2.22.0.00.01.0000,10861017000,66766716,2026,Non Tender,APBD,CV. Indotama Papua Konsultan,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanan Pembangunan Unit Sekolah Baru (USB) SMP Satu Atap Ebungfauw,SELESAI,64800000,64800000
KAB. JAYAPURA,DINAS PEKEREJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.04.0000,10892683000,66572427,2026,Non Tender,APBD,CV.ORBIT ENGINEERING CONSULTAN,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,"Pengawasan Pemeliharaan Ruas Jalan Utama jalan SP.I - Kampung Omon (Distrik Yapsi, Distrik Gresi Selatan)",SELESAI,119547000,119547000
