nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. SIGI,BADAN KESATUAN BANGSA DAN POLITIK - 8.01.0.00.0.00.05.0000,01KQV7QHCMHPC3WSD9Z5Y00PC0,66149027,2026,E-Katalog 6.0,APBD,UBAS MEMBANGUN,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat Kewaspadaan Nasional,ON PROCESS,8540000,8540000
KAB. SIGI,RSUD TORABELO KABUPATEN SIGI - 1.02.0.00.0.00.01.0001,01KVCHSG3YG7KPW6GHEAVKT7N8,65683801,2026,E-Katalog 6.0,BLUD,JAYAMAS MEDICA INDUSTRI,E-Purchasing,Barang,Obat dan BHP,ON PROCESS,156755066,156755066
KAB. SIGI,RSUD TORABELO KABUPATEN SIGI - 1.02.0.00.0.00.01.0001,01KMYR3A35FCVGYPNY31SMS215,65339804,2026,E-Katalog 6.0,APBD,GE OPERATIONS INDONESIA,E-Purchasing,Barang,Pengadaan Alata Kesehatan Treatmile,ON PROCESS,341387580,0
KAB. SIGI,DINAS SOSIAL - 1.06.0.00.0.00.01.0000,01KJ81MK3XR4KKGGY6C1PDQNVK,64643149,2026,E-Katalog 6.0,APBD,CAHAYA NAFISAH,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,21164530,21164530
KAB. SIGI,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.1.04.0.00.01.0000,01KPW0RZ1P1H52Z940C11G9NDA,64229587,2026,E-Katalog 6.0,APBD,ERKA & BROTHER'S,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,8865570,8865570
KAB. SIGI,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KR2D1Y3D0WBRF7VDN05XR3ZT,64387033,2026,E-Katalog 6.0,APBD,TRISA LIKUID FARMA,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,11142180,11142180
KAB. SIGI,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.1.04.0.00.01.0000,10768293000,64229589,2026,Non Tender,APBD,CV. KARAYA POLIGON,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Jaringan Irigasi Irdes Sintuwu,SELESAI,99642480,99642480
KAB. SIGI,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.1.04.0.00.01.0000,10768301000,64229595,2026,Non Tender,APBD,CV FASADE NUSANTARA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Jaringan Irigasi Lembantongoa,SELESAI,99539000,99539000
KAB. SIGI,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,01KPDBP4DH5MYP50Q1S8KRHPA2,66926948,2026,E-Katalog 6.0,APBD,AZZAM KARYA ABADI,E-Purchasing,Barang,Belanja Modal Mebel,ON PROCESS,539793000,539793000
KAB. SIGI,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.03.0000,01KV9NK13PJC990D3DFYABA7ZW,64328043,2026,E-Katalog 6.0,APBD,SHUNU ARTHA CEMERLANG,E-Purchasing,Barang,Belanja Modal Peralatan Personal Computer,ON PROCESS,28083000,28083000
KAB. SIGI,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.1.04.0.00.01.0000,01KKJH3WMFEV1APCKEC2BNPP80,64447234,2026,E-Katalog 6.0,APBD,CAHAYA NAFISAH,E-Purchasing,Jasa Lainnya,Fotocopy (DAU),ON PROCESS,49950000,49950000
KAB. SIGI,RSUD TORABELO KABUPATEN SIGI - 1.02.0.00.0.00.01.0001,01KSEWG75QZMSYNXWKRVGEG3AE,65340010,2026,E-Katalog 6.0,APBD,MINDRAY MEDICAL INDONESIA,E-Purchasing,Barang,Pengadaan Alata Kesehatan Infus Pump,ON PROCESS,802752000,802752000
KAB. SIGI,PUSKESMAS PANDEREE - 1.02.0.00.0.00.01.0011,01KW5T65X133XA2CH3QRQAAKJT,67102468,2026,E-Katalog 6.0,APBD,MEIVI AMALIA,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat,ON PROCESS,56929600,56929600
KAB. SIGI,RSUD TORABELO KABUPATEN SIGI - 1.02.0.00.0.00.01.0001,01KNP17TWBAHB33HSBBMYXX103,65339782,2026,E-Katalog 6.0,APBD,SARANDI KARYA NUGRAHA,E-Purchasing,Barang,Pengadaan Alata Kesehatan Troli Alat,ON PROCESS,52159183,52159183
KAB. SIGI,INSPEKTORAT KAB. SIGI - 6.01.0.00.0.00.01.0000,01KKJCA7JNT5415H63X7J08VB3,64355296,2026,E-Katalog 6.0,APBD,ALDHAN,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,ON PROCESS,69600000,69600000
KAB. SIGI,RSUD TORABELO KABUPATEN SIGI - 1.02.0.00.0.00.01.0001,01KS6HWC527CYGGJ4XNH4C42WM,66978080,2026,E-Katalog 6.0,BLUD,INTISUMBER HASIL SEMPURNA GLOBAL,E-Purchasing,Barang,Alat Kesehatan dan Kedokteran Umum,ON PROCESS,449550,449550
KAB. SIGI,DINAS PETERNAKAN DAN KESEHATAN HEWAN - 3.27.0.00.0.00.08.0000,10777326000,64753684,2026,Non Tender,APBD,CV. ELASTIS KONSULTAN,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Jasa Konsultansi Perencanaan Rehabilitasi Rumah Potong Hewan (RPH) Babi,SELESAI,7631250,7631250
KAB. SIGI,DINAS PERHUBUNGAN - 2.15.0.00.0.00.01.0000,01KS1RNMTKHYZXYNGK39895FHC,66984669,2026,E-Katalog 6.0,APBD,ANUGERAH PERDANA,E-Purchasing,Jasa Lainnya,Belanja Modal Kendaraan Dinas Bermotor Perorangan,PAYMENT OUTSIDE SYSTEM,38600000,38600000
KAB. SIGI,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KW23EEQ2GEQCHZFDJ4VF1QK5,64387033,2026,E-Katalog 6.0,APBD,BERNOFARM,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,38628000,38628000
KAB. SIGI,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KMZKM5DFR8EARWE1MTS1XP24,64387033,2026,E-Katalog 6.0,APBD,SATORIA ANEKA INDUSTRI,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,50988960,50988960
KAB. SIGI,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KKGDX4JHB1Q6JPYCPBQYXXSB,64387032,2026,E-Katalog 6.0,APBD,SERAPHIM MEDICARE INDONESIA,E-Purchasing,Barang,Belanja Bahan-Bahan Lainnya,ON PROCESS,84247712,84247712
