nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. YALIMO,"DINAS PEMUDA, OLAHRAGA DAN PARIWISITA - 2.19.2.22.3.26.17.0000",10140485000,65719692,2026,Tender,APBD,CV. BERKAH MANDIRI,Tender,Pekerjaan Konstruksi,Pembangunan Lapangan Sepak Bola,SELESAI,4339294340,4339294340
KAB. YALIMO,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,10147798000,67219776;67221882,2026,Tender,APBD,CV. BYSUAR,Tender,Pekerjaan Konstruksi,",PENINGKATAN JALAN LOKASI TPU ELELIM",SELESAI,2376787200,2376787200
KAB. YALIMO,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,10138970000,65771904;67218725,2026,Tender,APBD,CV. MUTIARA HITAM PAPUA,Tender,Pekerjaan Konstruksi,",PEMBANGUNAN JALAN ILUGWA - PASVALEY",SELESAI,7811901143,7811901143
