nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. PESISIR SELATAN,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.02.0000,10860510000,67095258,2026,Non Tender,APBD,CV.PUTERA SIKUMBANG,Pengadaan Langsung,Pekerjaan Konstruksi,Pemeliharaan Gedung Kantor,SELESAI,175288225,175288225
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KVQ6R6MVV09AGS0MBDJV71Y1,65467922,2026,E-Katalog 6.0,APBD,HANNAH MADANI,E-Purchasing,Jasa Lainnya,Belanja Perjalanan Dinas Paket Meeting Dalam Kota (Operasional Pelayanan Fasilitas Kesehatan Lainnya),ON PROCESS,11800000,11800000
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KNNEF7TJH73KM6KXGYRDMFS1,65931679,2026,E-Katalog 6.0,APBD,YUFITA ERI,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat  ,ON PROCESS,34400000,34400000
KAB. PESISIR SELATAN,"DINAS PARIWISATA, KEBUDAYAAN, KEPEMUDAAN DAN OLAHRAGA - 3.26.2.22.2.19.01.0000",10804323000,66446928,2026,Non Tender,APBD,SELLYA ENGINEERING,Pengadaan Langsung,Jasa Lainnya,Kejuaraan Sepak Takraw Kec. Koto XI Tarusan,SELESAI,95636490,95636490
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KSJPH2WKZAWW3CHNHPE41W4Y,67102147,2026,E-Katalog 6.0,APBD,RIAN DIANO,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,579210,579210
KAB. PESISIR SELATAN,RSUD DR. MUHAMMAD ZEIN PAINAN - 1.02.0.00.0.00.01.0024,01KKG45XCXF3KTK28TT1NHWD71,64945399,2026,E-Katalog 6.0,BLUD,JAYAMAS MEDICA INDUSTRI,E-Purchasing,Barang,Belanja Barang untuk di jual/diserahkan kepada masyarakat (Belanja BMHP),ON PROCESS,8621370,8621370
KAB. PESISIR SELATAN,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.02.0000,10867269000,66990788,2026,Non Tender,APBD,KJPP Abdullah Fitriantoro & Rekan,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Jasa Penilai Publik (Appraisal) Tanah Pembangunan Pos AL (Pos Angkatan Laut),SELESAI,14771991,14771991
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KJEG3SJ2ATFFN234YW16QNEX,65669062,2026,E-Katalog 6.0,APBD,HENDRO KURNIAWAN,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,COMPLETED,9775770,9775770
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KS49BZAKAAR0EHZCD4NQM3DF,66106655,2026,E-Katalog 6.0,APBD,IKHWANUL IHSAN,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,ON PROCESS,6105140,6105140
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KJBY0099A3E6TFVQ9MY7SV5S,65669317,2026,E-Katalog 6.0,APBD,HENDRO KURNIAWAN,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,COMPLETED,3684645,3684645
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KNK04YNQ8QGNV3D1V1T8FCTW,64196592,2026,E-Katalog 6.0,APBD,RIAN DIANO,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,COMPLETED,8409990,8409990
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KP2NH1T6NWFAKFKMQKPBWJCQ,65669736,2026,E-Katalog 6.0,APBD,SYAFRIZEN,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,COMPLETED,6415800,6415800
KAB. PESISIR SELATAN,DINAS PERDAGANGAN DAN PERINDUSTRIAN - 3.30.3.31.0.00.01.0000,10881254000,65486716,2026,Non Tender,APBD,CV GENTA MULTI USAHA,Pengadaan Langsung,Pekerjaan Konstruksi,Rehab Pasar Kambang,SELESAI,170516900,170516900
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KPCT6XHRN6381BQSG1SHE3GA,64949837,2026,E-Katalog 6.0,APBD,DIEKI SUHATLAN,E-Purchasing,Barang,Belanja Penggandaan,COMPLETED,1251608,1251608
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KJC0XMC4MTXDHGWQC3A4TYQP,63888697,2026,E-Katalog 6.0,APBD,LINDA FITRIANTI,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAYMENT OUTSIDE SYSTEM,1627000,1627000
KAB. PESISIR SELATAN,SEKRETARIAT DAERAH - 4.01.6.01.8.01.01.0000,01KK0QZVVXTDFAH387SZYVVK2E,64705494,2026,E-Katalog 6.0,APBD,RICO NASKAWANDI,E-Purchasing,Barang," Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor (Fasilitasi Pengelolaan Dapur Sehat Atasi Stunting (DASHAT) di Kampung Keluarga Berkualitas)",COMPLETED,3535350,3535350
