nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. KEPULAUAN SANGIHE,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA DAERAH - 2.14.0.00.0.00.01.0000,01KW8A2ZSAJKSNNCP9M7BKMY1S,64986224,2026,E-Katalog 6.0,APBD,FELICIA ELLEN BOHAM,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Aktivitas Lapangan-Peningkatan Kesertaan Penggunaan Metode Kontrasepsi,ON PROCESS,1237500,1237500
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KKH88WEZMBXJZPS2PPSZXJ20,63399788,2026,E-Katalog 6.0,APBD,VIVA SULUT MEDIA,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,3500000,3500000
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KQ01W2WG6W87BEGCCMAXVE7S,66195234,2026,E-Katalog 6.0,BLUD,MEPROFARM,E-Purchasing,Barang,Belanja Bahan Obat-Obatan,ON PROCESS,22196903,22196903
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KNC44TFEWGCKYV2FT73SGDCY,66544211,2026,E-Katalog 6.0,APBD,NUSANTARA MEDIKA BERJAYA,E-Purchasing,Barang,Belanja Modal Alat Kesehatan Mesin Anestesi Ruang OK,ON PROCESS,1361137500,0
KAB. KEPULAUAN SANGIHE,DINAS KESEHATAN DAERAH - 1.02.0.00.0.00.02.0000,01KMKZV7NF6EJDRBBVRJD9YS85,65126506,2026,E-Katalog 6.0,APBD,INFOKES INDONESIA,E-Purchasing,Jasa Lainnya,Belanja Jasa Konversi Aplikasi/Sistem Informasi,ON PROCESS,169830000,169830000
KAB. KEPULAUAN SANGIHE,BAGIAN TATA PEMERINTAHAN - 4.01.0.00.0.00.01.0001,01KW8DEFQ4MGQKENA6GE0EAVKH,63842885,2026,E-Katalog 6.0,APBD,LIE YANTI MENDA,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat Fasilitasi Pelaksanaan Otonomi Daerah ,ON PROCESS,1124550,1124550
KAB. KEPULAUAN SANGIHE,BADAN PENGELOLA PERBATASAN DAERAH - 5.06.0.00.0.00.01.0000,01KNQTTMH7RHX6MQHMZ0PA4NYM,63875382,2026,E-Katalog 6.0,APBD,SANGIHE PERMAI,E-Purchasing,Barang,Belanja Modal Mebel,ON PROCESS,3621000,3621000
KAB. KEPULAUAN SANGIHE,DINAS KESEHATAN DAERAH - 1.02.0.00.0.00.02.0000,10141130000,67226587,2026,Tender,APBD,,Tender,Pekerjaan Konstruksi,Belanja Modal Pembangunan Gedung Puskesmas (Rusak Berat) Puskesmas kahakitang,BERLANGSUNG,8834355000,8834355000
KAB. KEPULAUAN SANGIHE,BAGIAN UMUM - 4.01.0.00.0.00.01.0008,01KHVZRCBZE9D142NCTRDJAYZQ,63503748,2026,E-Katalog 6.0,APBD,ANUGRAH KARYA GANESHA,E-Purchasing,Jasa Lainnya,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Dinas Bermotor Perorangan,ON PROCESS,2475300,2475300
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KR0RR0W1EPKTPWNVP0TVW32S,66195234,2026,E-Katalog 6.0,BLUD,MEPROFARM,E-Purchasing,Barang,Belanja Bahan Obat-Obatan,ON PROCESS,18282255,18282255
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KG6SXF2JCQ57MRJWHF5GQAMM,63399788,2026,E-Katalog 6.0,APBD,GERBANG MEDIA INDONESIA,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,BAGIAN UMUM - 4.01.0.00.0.00.01.0008,01KDR00PSNXMFT9ZY61MVC2X91,62623766,2026,E-Katalog 6.0,APBD,FELICIA ELLEN BOHAM,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Tamu Rumah Jabatan Bupati dan Wakil Bupati Bulan Januari s/d Desember 2026,ON PROCESS,14990000,14990000
KAB. KEPULAUAN SANGIHE,DINAS PERTANIAN DAERAH - 3.27.0.00.0.00.01.0000,01KRB038NMN0RPPYNQTQSY7AZQ,66225363,2026,E-Katalog 6.0,APBD,OKTAFIEN GLEEN MASALAMATE,E-Purchasing,Barang,Kertas dan Cover Pelaksanaan Penatausahaan danPengujian/Verifikasi Keuangan SKPD,PAYMENT OUTSIDE SYSTEM,1980245,1980245
KAB. KEPULAUAN SANGIHE,BAGIAN UMUM - 4.01.0.00.0.00.01.0008,01KH1EAGECWPCRAQXVKY7BXTRR,63662334,2026,E-Katalog 6.0,APBD,ANUGRAH KARYA GANESHA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik,ON PROCESS,2081250,2081250
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KKJGWM5K7T3ER4PJW01EX4TZ,63395852,2026,E-Katalog 6.0,APBD,RONALD NOVENDI LONTOH,E-Purchasing,Barang,Alat Tulis Kantor Koordinasi Pelaksanaan Manajemen SPBE,ON PROCESS,259500,259500
KAB. KEPULAUAN SANGIHE,DINAS PERHUBUNGAN DAERAH - 2.15.0.00.0.00.01.0000,01KPZ0F47CX6KKD3T5623PY1QC,64156169,2026,E-Katalog 6.0,APBD,RUSLI MALIBU,E-Purchasing,Barang,Kertas dan Cover Pengendalian dan Pengawasan Ketersediaan Angkutan Umum untuk Jasa Angkutan Orang dan/atau Barang Antar Kota dalam 1 (Satu) Kabupaten/Kota,ON PROCESS,1066012,1066012
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KG6XRBFSZXHBM60Y8N810330,63399788,2026,E-Katalog 6.0,APBD,MEDIA BERKAT PACIFIC,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,DINAS PERHUBUNGAN DAERAH - 2.15.0.00.0.00.01.0000,01KG4R56B2FS4E63TAJJ1XH8ZN,64636324,2026,E-Katalog 6.0,APBD,ANUGRAH KARYA GANESHA,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Kebersihan,ON PROCESS,42900000,42900000
KAB. KEPULAUAN SANGIHE,BAGIAN UMUM - 4.01.0.00.0.00.01.0008,01KGMBE3J78CRNRYD77RWKV2M8,63557295,2026,E-Katalog 6.0,APBD,BELVA NETWORK DIGITAL TECH,E-Purchasing,Jasa Lainnya,Belanja Kawat/Faksimili/Internet/TV Berlangganan,ON PROCESS,41985000,41985000
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KG6SPVFP8AZRBFRP7YRX13F5,63399788,2026,E-Katalog 6.0,APBD,EKUATOR MEDIA SULUT,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KNTXFSMTMZKPFA9QKE82Z5CB,63399788,2026,E-Katalog 6.0,APBD,CAHAYA BINTANG MEDIA GROUP,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,0
KAB. KEPULAUAN SANGIHE,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN DAERAH - 1.04.2.10.0.00.01.0000,01KVSAMYC7CJ4XGPXWV21DYGW8,65260670,2026,E-Katalog 6.0,APBD,SANGIHE PERMAI,E-Purchasing,Barang,Belanja ATK Penyusunan Dokumen Perencanaan Perangkat Daerah,ON PROCESS,101010,101010
KAB. KEPULAUAN SANGIHE,DINAS KESEHATAN DAERAH - 1.02.0.00.0.00.02.0000,01KVW5SMX6XF1T2F6SYY5ASMKK,65250418,2026,E-Katalog 6.0,APBD,LOISE JUNITA MARIA SAMPE,E-Purchasing,Jasa Lainnya,Belanja Bahan Cetak Peningkatan Mutu Pelayanan Fasilitas Kesehatan,ON PROCESS,2500000,2500000
KAB. KEPULAUAN SANGIHE,BAGIAN PERENCANAAN DAN KEUANGAN - 4.01.0.00.0.00.01.0011,01KVX3A3JRF83C4G7CP1KJBY6C,64067631,2026,E-Katalog 6.0,APBD,FANTJE DUMALANG,E-Purchasing,Barang,Kertas dan Cover Penyusunan Dokumen Perencanaan Perangkat Daerah,ON PROCESS,582545,582545
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KTR7ZRS4XFFWT37QRW9CDNH0,63399788,2026,E-Katalog 6.0,APBD,FARADILA NATASYA UTAMA,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KRYE24YCYW9V4QGAH94R6KYZ,66195234,2026,E-Katalog 6.0,BLUD,AMAROX PHARMA GLOBAL,E-Purchasing,Barang,Belanja Bahan Obat-Obatan,ON PROCESS,7201125,7201125
KAB. KEPULAUAN SANGIHE,BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH - 5.02.0.00.0.00.01.0000,01KKH3B3TN1KY6BSBRWFR8D5T0,63545393,2026,E-Katalog 6.0,APBD,BERKAT NUSA UTARA,E-Purchasing,Barang,"Alat Tulis Kantor Pengolahan, Pemeliharaan, dan Pelaporan Basis Data Pajak Daerah",ON PROCESS,1926999,1926999
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KTR6R4VGEH5P080M56S197N6,63399788,2026,E-Katalog 6.0,APBD,TEDCHI MEDIA ANUGERAH,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KM11HZ7K2XQB8M1X2ZCZ8KNM,66556745,2026,E-Katalog 6.0,APBD,SINERGI ARTHA TEKNO,E-Purchasing,Barang,Belanja Modal Alat Kesehatan Reverse Osmosis (RO) Untuk Hemodialisis (HD),ON PROCESS,290704560,290704560
KAB. KEPULAUAN SANGIHE,SEKRETARIS DPRD - 4.02.0.00.0.00.01.0000,01KVWFXSCVZE0WE3S9TA0GGXMH,65347406,2026,E-Katalog 6.0,APBD,RONNY SUMAMPOW,E-Purchasing,Barang,Pengadaan Sound System,ON PROCESS,422432919,422432919
KAB. KEPULAUAN SANGIHE,BADAN PENGELOLA PERBATASAN DAERAH - 5.06.0.00.0.00.01.0000,01KWDK3XEJ7A081SRB6VSYYWBP,64021380,2026,E-Katalog 6.0,APBD,OKTAFIEN GLEEN MASALAMATE,E-Purchasing,Jasa Lainnya,Bahan Cetak Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD,ON PROCESS,1000000,1000000
KAB. KEPULAUAN SANGIHE,DINAS LINGKUNGAN HIDUP DAERAH - 2.11.0.00.0.00.01.0000,10894583000,66337974,2026,Pencatatan,APBD,Aston MAnado Hotel,Dikecualikan,Jasa Lainnya,Penginapan Perjalanan Dinas Biasa Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD,PAKET SEDANG BERJALAN,1925000,1925000
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KQB3TY4TEJY9N94N1NNTK051,67030069,2026,E-Katalog 6.0,APBD,NUSANTARA MEDICARE INDUSTRI,E-Purchasing,Barang,Belanja Modal Alat Kesehatan USG akses vaskuler Ruang Hemodialisa,ON PROCESS,412387200,412387200
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KNTT2REFA800YT97SHXGY0F5,63399788,2026,E-Katalog 6.0,APBD,MEDIA REPORTASE SULUT,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KM4ZNEJQYVAZ776A8Z48Z6A8,66563891,2026,E-Katalog 6.0,APBD,SYNERGY DUA KAWAN SEJATI,E-Purchasing,Barang,Belanja Modal Alat Kesehatan Infuse Pump dan Syringe Pump,ON PROCESS,228960810,228960810
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KRCMH122X47KFJY7P4EJ0JYY,66195243,2026,E-Katalog 6.0,BLUD,MEDQO MEDICA PHARMA,E-Purchasing,Barang,Belanja Bahan Medis Habis Pakai (BMHP),ON PROCESS,11077800,11077800
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KNTT791R9MYAH6SSXHWR0CQ8,63399788,2026,E-Katalog 6.0,APBD,MEDIA SIGAP INDONESIA,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KNJSZAH8RCZ7SN6KSBGSNK4H,63399788,2026,E-Katalog 6.0,APBD,MEDIA MANADO LINE,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,BAGIAN SUMBER DAYA ALAM - 4.01.0.00.0.00.01.0007,01KN1T4EJ36FV1HTBD4B475DEV,63670817,2026,E-Katalog 6.0,APBD,MELDY LASUT,E-Purchasing,Barang,"Kertas dan Cover Koordinasi, Sinkronisasi dan Evaluasi Kebijakan Pertanian, Kehutanan, Kelautan, dan Perikanan",ON PROCESS,2875700,2875700
KAB. KEPULAUAN SANGIHE,DINAS PENDIDIKAN DAN KEBUDAYAAN DAERAH - 1.01.2.22.0.00.01.0000,01KS1TV05JDRYPJQV7VQFE3KA0,63407116,2026,E-Katalog 6.0,APBD,CHARLIE FERDINAND SIE,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor Sub Kegiatan Pelaksanaan Penatausahaan dan Pengujian/Verifikasi keuangan SKPD,ON PROCESS,28133235,28133235
KAB. KEPULAUAN SANGIHE,DINAS KOMUNIKASI DAN INFORMATIKA DAERAH - 2.16.2.20.2.21.01.0000,01KP4TXQQN2E8Y9YK89PF64PBH,63399788,2026,E-Katalog 6.0,APBD,MANADO MEDIA GRAFIKA,E-Purchasing,Jasa Lainnya,Belanja Langganan Jurnal/Surat Kabar/Majalah,ON PROCESS,4500000,4500000
KAB. KEPULAUAN SANGIHE,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN DAERAH - 1.04.2.10.0.00.01.0000,01KN18FFTJH5378SJGGX7FCV43,66296495,2026,E-Katalog 6.0,APBD,ANUGRAH KARYA GANESHA,E-Purchasing,Jasa Lainnya,Belanja Jasa Tenaga Supir,ON PROCESS,15750000,15750000
KAB. KEPULAUAN SANGIHE,RUMAH SAKIT DAERAH LIUN KENDAGE TAHUNA - 1.02.0.00.0.00.02.0018,01KR1BVMJZA95PMFSH7G8A5XSC,66195234,2026,E-Katalog 6.0,BLUD,IKAPHARMINDO PUTRAMAS,E-Purchasing,Barang,Belanja Bahan Obat-Obatan,ON PROCESS,79567,79567
KAB. KEPULAUAN SANGIHE,BAGIAN ADMINISTRASI PEMBANGUNAN - 4.01.0.00.0.00.01.0012,01KJXKBQFBF6GM3K0782RYK13A,63301043,2026,E-Katalog 6.0,APBD,SANGIHE PERMAI,E-Purchasing,Barang,Kertas dan Cover Pengendalian dan Evaluasi Program Pembangunan,ON PROCESS,3995020,3995020
KAB. KEPULAUAN SANGIHE,BAGIAN UMUM - 4.01.0.00.0.00.01.0008,01KHGRDFNR5CMH504RQH96TAX2,62623766,2026,E-Katalog 6.0,APBD,SHANKARA MULIATAMA,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Tamu Rumah Jabatan Bupati dan Wakil Bupati Bulan Januari s/d Desember 2026,ON PROCESS,6154950,6154950
KAB. KEPULAUAN SANGIHE,DINAS KESEHATAN DAERAH - 1.02.0.00.0.00.02.0000,10915726000,65054710,2026,Non Tender,APBD,cv.screen vista konsultan,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Modal Pengawasan Teknis Rehabilitasi Gedung Puskesmas Pintareng,BERLANGSUNG,24750000,24750000
KAB. KEPULAUAN SANGIHE,DINAS KESEHATAN DAERAH - 1.02.0.00.0.00.02.0000,01KTZJ5JBD5RE7Q4JDVB36V0HP,65054673,2026,E-Katalog 6.0,APBD,NUSA PHARMA PERSADA,E-Purchasing,Barang,Belanja Bahan Medis Habis Pakai,ON PROCESS,22422000,22422000
