nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. MOJOKERTO,RSUD RA BASOENI - 1.02.0.00.0.00.01.0030,01KVF06KBX0Z9F8J0RAA326W5Y,66871044,2026,E-Katalog 6.0,BLUD,SURYA INDAH PERSADA,E-Purchasing,Barang,Belanja Modal Alat Rumah Tangga Lainnya (Home Use),ON PROCESS,14918000,14918000
KAB. MOJOKERTO,PUSKESMAS GONDANG - 1.02.0.00.0.00.01.0027,01KS2639QYE8FZAQK4TK5AQ16V,63410131,2026,E-Katalog 6.0,BLUD,MEPROFARM,E-Purchasing,Barang,Belanja Obat-Obatan-Obat BLUD Puskesmas Gondang,ON PROCESS,4215003,4215003
KAB. MOJOKERTO,KECAMATAN KEMLAGI - 7.01.0.00.0.00.06.0000,10924280000,63020851,2026,Pencatatan,APBD,CAHAYA PRINTING,Pengadaan Langsung,Jasa Lainnya,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAKET SELESAI,426800,426800
KAB. MOJOKERTO,BAGIAN ORGANISASI - 4.01.5.02.0.00.01.0005,10927329000,67173143,2026,Pencatatan,APBD,"Pertamina, Pertamina",Dikecualikan,Pengadaan Barang,"Belanja Bahan-Bahan Bakar dan Pelumas Sub Kegiatan Monitoring, Evaluasi dan Pengendalian Kualitas Pelayanan Publik dan Tata Laksana",PAKET SEDANG BERJALAN,739000,0
KAB. MOJOKERTO,RSUD RA BASOENI - 1.02.0.00.0.00.01.0030,01KNB51Q39071GB82JSDBV8MYZ,63338277,2026,E-Katalog 6.0,BLUD,PRATAPA NIRMALA,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,13128026,13128026
KAB. MOJOKERTO,DINAS PANGAN DAN PERIKANAN - 2.09.3.25.0.00.03.0000,10329866000,41917659,2026,Swakelola,APBD,DINAS PANGAN DAN PERIKANAN,,,Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan operator layanan operasional,PAKET SELESAI,31875000,0
KAB. MOJOKERTO,"DINAS KEBUDAYAAN, KEPEMUDAAN, OLAHRAGA DAN PARIWISATA - 3.26.2.19.2.22.02.0000",01KQ69806DMS9DSA5W7NY4XXDD,63083023,2026,E-Katalog 6.0,APBD,ARDHIA PRAMESTI RIGITA,E-Purchasing,Barang,Biaya Konsumsi (Makan),COMPLETED,4500000,4500000
KAB. MOJOKERTO,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.2.15.0.00.01.0000,10130095000,65255773,2026,Tender,APBD,CV. LAUTAN KARYA,Tender,Pekerjaan Konstruksi,Belanja Hibah Barang kepada Pemerintah Pusat - Pembangunan Rumah Dinas Kejaksaan Negeri,SELESAI,3628391847,3628391847
KAB. MOJOKERTO,RSUD PROF DR SOEKANDAR - 1.02.0.00.0.00.01.0029,01KHNQCYA9QYM8SA5FA3RDT629,64043987,2026,E-Katalog 6.0,BLUD,FERRON PAR PHARMACEUTICALS,E-Purchasing,Barang,Pengadaan Obat dan Perbekalan Farmasi ,ON PROCESS,116620640,116620640
KAB. MOJOKERTO,DINAS TENAGA KERJA - 2.07.3.32.0.00.02.0000,10921777000,62937604,2026,Pencatatan,APBD,PERTAMINA,Dikecualikan,Pengadaan Barang,Bahan Bakar,PAKET SELESAI,1500000,1500000
KAB. MOJOKERTO,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.2.15.0.00.01.0000,01KQVHH8B9CX4NC66KEBA5XGHN,64430178,2026,E-Katalog 6.0,APBD,SURYA AGRA ABADI,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover-Rehabilitasi Jaringan Irigasi Permukaan,COMPLETED,523911,523911
KAB. MOJOKERTO,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.12.0.00.0.00.03.0000,10919726000,62735104,2026,Pencatatan,APBD,PT. Pertamina,Dikecualikan,Pengadaan Barang,Bahan Bakar,PAKET SELESAI,2300000,2300000
KAB. MOJOKERTO,RSUD PROF DR SOEKANDAR - 1.02.0.00.0.00.01.0029,01KPQBDB31YB8AZREZ8YA102K8,64043987,2026,E-Katalog 6.0,BLUD,B. BRAUN MEDICAL INDONESIA,E-Purchasing,Barang,Pengadaan Obat dan Perbekalan Farmasi ,ON PROCESS,15411573,0
KAB. MOJOKERTO,RSUD PROF DR SOEKANDAR - 1.02.0.00.0.00.01.0029,01KKG92RWNNCW5WAZYHQKE5KXT,64043987,2026,E-Katalog 6.0,BLUD,TROPICA MAS PHARMACEUTICALS,E-Purchasing,Barang,Pengadaan Obat dan Perbekalan Farmasi ,ON PROCESS,1078920,1078920
KAB. MOJOKERTO,RSUD PROF DR SOEKANDAR - 1.02.0.00.0.00.01.0029,01KH5615C404BP2XT6S8DVSKFK,63010198,2026,E-Katalog 6.0,BLUD,PEDULI,E-Purchasing,Barang,Kegiatan Penunjang Pelayanan,ON PROCESS,9620000,9620000
KAB. MOJOKERTO,KELURAHAN MOJOSARI - 7.01.0.00.0.00.18.0001,10816775000,63238897,2026,Non Tender,APBD,CV. ASTA JAYA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Pembuang Air Kotor (Pembangunan Saluran Drainase) Kelurahan Mojosari,SELESAI,173961043,173961043
KAB. MOJOKERTO,BADAN PENANGGULANGAN BENCANA DAERAH - 1.05.0.00.0.00.04.0000,01KHAD06CRKB1KZ09P1F8T78SE,62784854,2026,E-Katalog 6.0,APBD,SIDODADI KOMPUTER,E-Purchasing,Barang,Belanja Modal Personal Computer,COMPLETED,39688000,0
KAB. MOJOKERTO,BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN - 4.01.5.02.0.00.01.0008,10342954000,42918806,2026,Swakelola,APBD,"YAHYA AINUN NAJIB, S.Kom.",,,Belanja Perjalanan Dinas Biasa fasilitasi keprotokolan,PAKET SELESAI,12027245,0
KAB. MOJOKERTO,BAGIAN PEREKONOMIAN DAN SUMBER DAYA ALAM - 4.01.5.02.0.00.01.0009,01KS7AGDX3MKRDPFDB7EA7GP6B,66726676,2026,E-Katalog 6.0,APBD,ARDHIA PRAMESTI RIGITA,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat_TPID,COMPLETED,385000,385000
KAB. MOJOKERTO,DINAS PERPUSTAKAAN DAN KEARSIPAN - 2.23.2.24.0.00.02.0000,01KP7MQNW91S9E96B7VXNA5WR4,62971918,2026,E-Katalog 6.0,APBD,MUTIARA JINGGA,E-Purchasing,Barang,Pemeliharaan/Rehabilitasi Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya,COMPLETED,1110000,1110000
KAB. MOJOKERTO,RSUD PROF DR SOEKANDAR - 1.02.0.00.0.00.01.0029,01KWDWNP85TY48R1Q1T7VR0F19,64043987,2026,E-Katalog 6.0,BLUD,MEPROFARM,E-Purchasing,Barang,Pengadaan Obat dan Perbekalan Farmasi ,ON PROCESS,1926960,1926960
KAB. MOJOKERTO,KELURAHAN KAUMAN - 7.01.0.00.0.00.18.0003,01KJ9VXNXJ9VCW83Q2EZREYPEX,62744952,2026,E-Katalog 6.0,"APBD,APBDP",BINTANG LIMA,E-Purchasing,Barang,Belanja Modal Personal Computer,COMPLETED,14985000,14985000
KAB. MOJOKERTO,PUSKESMAS KEMLAGI - 1.02.0.00.0.00.01.0010,10932419000,63211443,2026,Pencatatan,BLUD,Mujayanah,Pengadaan Langsung,Pengadaan Barang,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan BLUD UPTD Puskesmas Kemlagi (PL),PAKET SEDANG BERJALAN,2691000,2691000
KAB. MOJOKERTO,BADAN KESATUAN BANGSA DAN POLITIK - 8.01.0.00.0.00.01.0000,01KP5F2CGRCV4RJ1FKJ370QQJW,63975406,2026,E-Katalog 6.0,APBD,DWI PUTRA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,COMPLETED,477300,477300
KAB. MOJOKERTO,KECAMATAN NGORO - 7.01.0.00.0.00.11.0000,10927932000,63157090,2026,Pencatatan,APBD,Avi comp,Pengadaan Langsung,Jasa Lainnya,Belanja Pemeliharaan Komputer-Komputer Unit-Personal Computer,PAKET SELESAI,1980000,1980000
KAB. MOJOKERTO,"DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA DAN PEMBERDAYAAN PEREMPUAN - 2.14.2.08.0.00.05.0000",01KPDT4493VDJH0XMBNNM1SYRP,62708742,2026,E-Katalog 6.0,APBD,CV.TEDUH,E-Purchasing,Jasa Lainnya,TU - Belanja Pemeliharaan Komputer-Peralatan Komputer-Peralatan Personal Computer,COMPLETED,685000,685000
KAB. MOJOKERTO,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA - 5.03.5.04.0.00.02.0000,01KTQQ94S0V06CTK05Y6M86XXY,62769624,2026,E-Katalog 6.0,APBD,VERY AJI ARI  BEKTI,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,COMPLETED,980000,980000
KAB. MOJOKERTO,SEKRETARIAT DPRD - 4.02.0.00.0.00.01.0000,01KVCP6W7YQF0772VH3H17SBJJ,64177603,2026,E-Katalog 6.0,APBD,VIDIANA ARIFAH,E-Purchasing,Jasa Lainnya,Belanja Makanan dan Minuman Rapat,ON PROCESS,46080000,46080000
KAB. MOJOKERTO,BAGIAN KESEJAHTERAAN RAKYAT - 4.01.5.02.0.00.01.0001,01KT8AYDJYGV1Z75W21EZFMW84,63157595,2026,E-Katalog 6.0,APBD,ISMANIATY,E-Purchasing,Barang,Belanja Natura dan Pakan-Natura,ON PROCESS,16750000,16750000
KAB. MOJOKERTO,DINAS TENAGA KERJA - 2.07.3.32.0.00.02.0000,10925139000,63622625,2026,Pencatatan,APBD,POS INDONESIA,Pengadaan Langsung,Pengadaan Barang,Belanja Tagihan Listrik,PAKET SELESAI,5507000,5507000
KAB. MOJOKERTO,RSUD RA BASOENI - 1.02.0.00.0.00.01.0030,01KJXWF1Z693AF95HX86B5KA9N,63338277,2026,E-Katalog 6.0,BLUD,MERCK,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,3336216,3336216
KAB. MOJOKERTO,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KRAYE854YVAKZRR702C705QY,64884944,2026,E-Katalog 6.0,APBD,FAUZIAH,E-Purchasing,Barang,Belanja Makanan dan Minuman - Konsolidasi Sekretariat,COMPLETED,3510000,3510000
KAB. MOJOKERTO,"DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA DAN PEMBERDAYAAN PEREMPUAN - 2.14.2.08.0.00.05.0000",01KK5SKN6HNVT7D0WV2MF05QTM,62710590,2026,E-Katalog 6.0,APBD,SUMBER BERKAH ABADI,E-Purchasing,Barang,TU - Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos - PENYEDIAAN BAHAN/MATERIAL,COMPLETED,999178,999178
KAB. MOJOKERTO,PUSKESMAS TAWANGSARI - 1.02.0.00.0.00.01.0004,01KQ6QBWGM201KF8FTZ2PVWHBT,66340815,2026,E-Katalog 6.0,BLUD,TRIMAN,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,COMPLETED,2997000,2997000
KAB. MOJOKERTO,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.06.0000,01KEV4R0C93VTCYA388YH0KMKR,62803635,2026,E-Katalog 6.0,APBD,AGUS WAHYU ANDRIONO,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat,COMPLETED,750000,750000
KAB. MOJOKERTO,BAGIAN ORGANISASI - 4.01.5.02.0.00.01.0005,01KT62GT44TW33Z0XEHQ713CRV,62799029,2026,E-Katalog 6.0,APBD,ISMANIATY,E-Purchasing,Barang,Belanja Makanan dan Minuman Rapat Sub Kegiatan Fasilitasi Pelayanan Publik dan Tata Laksana,COMPLETED,960000,960000
KAB. MOJOKERTO,RSUD PROF DR SOEKANDAR - 1.02.0.00.0.00.01.0029,01KQYFB96YFHRM06VX15K4T1R3,62648427,2026,E-Katalog 6.0,BLUD,BAROKAH,E-Purchasing,Jasa Lainnya,Penyediaan makan minum non pasien,ON PROCESS,1000000,1000000
KAB. MOJOKERTO,PUSKESMAS PUNGGING - 1.02.0.00.0.00.01.0017,10924007000,63215544,2026,Pencatatan,BLUD,"TPS3R LESTARI SEJAHTERA, TPS3R LESTARI SEJAHTERA, TPS3R LESTARI SEJAHTERA",Pengadaan Langsung,Jasa Lainnya,Belanja Jasa Pengolahan Sampah (TPS3R LESTARI SEJAHTERA) BLUD UPTD Puskesmas Pungging,PAKET SEDANG BERJALAN,620000,620000
