nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. BIMA,SEKRETARIAT DAERAH KABUPATEN BIMA - 4.01.0.00.0.00.01.0000,10871572000,67129776,2026,Non Tender,APBD,CV. Bima Akbar,Pengadaan Langsung,Pengadaan Barang,Belanja Barang untuk Diserahkan kepada Masyarakat,SELESAI,62000000,0
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KT2ZXQ50YBC38BWTBG1DZT6D,65518494,2026,E-Katalog 6.0,BLUD,JAYAMAS MEDICA INDUSTRI,E-Purchasing,Barang,Belanja Bahan Medis Habis Pakai,ON PROCESS,114506328,114506328
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KJ47ECTFWRCXK015M93Q6H94,65518068,2026,E-Katalog 6.0,BLUD,DEXA MEDICA,E-Purchasing,Barang,Belanja Obat,ON PROCESS,15184800,15184800
KAB. BIMA,DINAS PERTANIAN DAN PERKEBUNAN - 3.27.0.00.0.00.01.0000,10866301000,65320090,2026,Non Tender,APBD,CV. Wazu Utama Konsultan,Pengadaan Langsung,Pengadaan Barang,Jasa Konsultansi Pengawasan,SELESAI,79200720,0
KAB. BIMA,BADAN PENANGGULANGAN BENCANA DAERAH - 1.05.0.00.0.00.04.0000,10897768000,65530813,2026,Non Tender,APBD,CV. SAIQA TAMA NIRA,Pengadaan Langsung,Pengadaan Barang,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,SELESAI,199800000,199800000
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KVSN6TQMAF0VXYV99YY7SWHK,65518068,2026,E-Katalog 6.0,BLUD,DANKOS FARMA,E-Purchasing,Barang,Belanja Obat,ON PROCESS,95000016,0
KAB. BIMA,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10126139000,64051646,2026,Tender,APBD,,Tender,Pekerjaan Konstruksi,Perluasan SPAM Jaringan Perpipaan Desa Samili Kec. Woha,BERLANGSUNG,889320000,889320000
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KS3NZ5VVM53KEHMVFZSV0KBD,65518494,2026,E-Katalog 6.0,BLUD,RIDHO ILAHI FARMA,E-Purchasing,Barang,Belanja Bahan Medis Habis Pakai,ON PROCESS,1066627,1066627
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KQ9CN8948V0CETXVKM66QM4G,65518068,2026,E-Katalog 6.0,BLUD,SATORIA ANEKA INDUSTRI,E-Purchasing,Barang,Belanja Obat,ON PROCESS,133866000,133866000
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KMYMZPQQP9NVBQF9DY43KNJ0,65518068,2026,E-Katalog 6.0,BLUD,DEXA MEDICA,E-Purchasing,Barang,Belanja Obat,ON PROCESS,10774992,0
KAB. BIMA,RUMAH SAKIT UMUM DAERAH SONDOSIA - 1.02.0.00.0.00.01.0022,01KVVZTNQDX6MTBGT1R1C3BX4Z,65648536,2026,E-Katalog 6.0,APBD,INTISUMBER HASIL SEMPURNA GLOBAL,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,200652,0
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KNTW3EKJ9YXS0Z7RYJMWNQFD,65518068,2026,E-Katalog 6.0,BLUD,KALBE FARMA,E-Purchasing,Barang,Belanja Obat,ON PROCESS,475324,475324
KAB. BIMA,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.07.0000,01KP2BF7AMSZA83GEMDXWXT6WC,65518494,2026,E-Katalog 6.0,BLUD,MITRA BAHAGIA CITRA MEDIKA,E-Purchasing,Barang,Belanja Bahan Medis Habis Pakai,ON PROCESS,17886203,0
