nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10904309000,66360853,2026,Non Tender,APBD,CV. EVS MEIJENI,Pengadaan Langsung,Pekerjaan Konstruksi,Cor Jalan Kamp. Bingwoyut Distrik Minyambouw,SELESAI,269910313,269910313
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10857572000,67086873,2026,Non Tender,APBD,CV. Kapipetama Papua Konsulindo,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Pembangunan Jaringan Air Bersih di Kampung Iba dan Meksi Distrik Testega,SELESAI,23448750,23448750
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10907345000,67257762,2026,Non Tender,APBD,CV. Baggor Star,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan MCK 1 Unit Di Kampung Odohotma Distrik Sururey,SELESAI,89962137,89962137
KAB. PEGUNUNGAN ARFAK,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,10809567000,66641924,2026,Non Tender,APBD,CV. ASINGGDE,Pengadaan Langsung,Jasa Lainnya,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,SELESAI,717076705,717076705
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10894302000,67256912,2026,Non Tender,APBD,CV. USWAM INDAH,Pengadaan Langsung,Pekerjaan Konstruksi,Cor Bahu Jalan Kampung Akyek Distrik Hingk Sekmen III,SELESAI,112418904,112418904
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10850822000,67043560,2026,Non Tender,APBD,CV. NUANZA GLOBAL KONSULINDO,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,"PERENCANAAN PEMBANGUNAN MCK 2 UNIT DI KAMPUNG APUI DAN ANDANG DISTRIK MINYAMBOUW, MCK DI KAMP. MBINGMA DISTRIK MINYAMBOUW, 6 UNIT MCK (KAMP. TUMBEIBEHEI, KAMP. SIGIM, KAMP. MINYAMBOUW, KAMP. SIMERBEI, KAMP. ANGGRA, KAMP. MBENTI) DISTRIK MINYAMBOUW, 1 UNIT MCK KAMPUNG JIM DISTRIK CATUBOUW, DAN PEMBANGUNAN 1 UNIT MCK",SELESAI,34992750,34992750
KAB. PEGUNUNGAN ARFAK,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,10820664000,66048128,2026,Non Tender,APBD,TIGA PERSPECTIVE ENGINEERING,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Rumah Guru SD Sisrang (SPesifik Grant Otsus),SELESAI,99944400,99944400
KAB. PEGUNUNGAN ARFAK,DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN - 1.04.0.00.0.00.01.0000,10851168000,66669438;66669443;66669461;66669467;66669477;66669495,2026,Non Tender,APBD,CV. ROTASI TEKNIKA KONSULINDO,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,"Perencanaan Pembangunan Rumah Layak Huni Kampung Dan Membey Distrik Membey, Rumah Layak Huni Kampung Imbeisba Distrik Membey, Rumah Layak Huni Kampung Inyebouw Distrik Membey, Rumah Layak Huni Kampung Inyebou  Distrik Membey, Rumah Layak Huni Kampung Ngesrow Distrik Anggi Gida, dan Rumah Layak Huni Kampung Sibyongub Distrik Anggi Gida",SELESAI,131984994,131984994
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10874555000,66360870,2026,Non Tender,APBD,cv.towanda arfak,Pengadaan Langsung,Pekerjaan Konstruksi,Cor Jalan di Kampung Taige,SELESAI,174948766,174948766
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10890409000,66360606,2026,Pencatatan,APBD,,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,PERENCANAAN TEKNIS 3 PAKET PEM JALAN LINGKUNGAN IBU KOTA DISTRIK ANGGI,PAKET SELESAI,29945000,29945000
KAB. PEGUNUNGAN ARFAK,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10813330000,66361156,2026,Non Tender,APBD,CV. PAPUA JAYA KONSTRUKSI,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Showroom dan Bengkel Peralatan Alat berat dan kendaraan pemeliharaan lainnya,SELESAI,919974597,919974597
