nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. MALUKU TENGAH,DINAS TRANSMIGRASI DAN TENAGA KERJA - 3.32.2.07.0.00.01.0000,10313571000,43032081,2026,Swakelola,APBD,"CHRISTOFOL LAILOSSA, S.Sos. MAP, GANDI LETAHIT, S.Sos, Mutalib sangaji, SE. CS",,,Penyelenggaraan rapat koordinasi dan konsultasi SKPD,PAKET SEDANG BERJALAN,6060000,0
KAB. MALUKU TENGAH,BADAN PENANGGULANGAN BENCANA DAERAH - 1.05.0.00.0.00.02.0000,10927414000,66353221,2026,Pencatatan,APBD,,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAKET SELESAI,1982000,0
KAB. MALUKU TENGAH,DINAS PARIWISATA - 3.26.0.00.0.00.01.0000,10344261000,43141784,2026,Swakelola,APBD,KIAN COMPUTER,,,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga - Alat Kantor - Alat Kantor Lainnya,PAKET SEDANG BERJALAN,1200000,0
KAB. MALUKU TENGAH,RSUD BANDA - 1.02.0.00.0.00.04.0000,01KVWABH6KCTPWZDZJ0X3V1KTC,66455370,2026,E-Katalog 6.0,APBD,TRIMAN,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,1162170,1162170
KAB. MALUKU TENGAH,RSUD MASOHI - 1.02.0.00.0.00.02.0000,01KQ691066Z5VBGACR0695DKRS,66502435,2026,E-Katalog 6.0,APBD,DEXA MEDICA,E-Purchasing,Barang,Belanja Bahan-Bahan Lainnya,ON PROCESS,47390202,47390202
KAB. MALUKU TENGAH,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,10320380000,42808933,2026,Swakelola,APBD,"Firda J. Lestaluhu, Irene Rahakbau, Kusranggi Legowo, S.Kom, M. Dj. Talaohu, S.KM.,.Si,, MARTHEN LATUIHAMALLO.,SKM,,MtI, Rahim Abd. Rahman, S.KM, Cs, Raudi Sahubawa, S.KM.,M.M.Kes, Cs, SUWANTO,S.Tr.TI.,M.Si, SUWANTO,S.Tr.TI.,M.Si, dr. Irene Rahakbau, M.Sc, Cs",,,Penyiapan Perumusan dan Pelaksanaan Pelayanan Kesehatan Rujukan,PAKET SEDANG BERJALAN,59266800,0
KAB. MALUKU TENGAH,SEKRETARIAT DEWAN - 4.02.0.00.0.00.01.0000,10319971000,43056502,2026,Swakelola,APBD,Sekretariat Dewan,,,Belanja Tagihan Listrik,PAKET SEDANG BERJALAN,482868,0
KAB. MALUKU TENGAH,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01KVRVR5SEV3FEJQ1NGZSTA243,66180825,2026,E-Katalog 6.0,APBD,BINTANG TIMUR TEKNOLOGI,E-Purchasing,Barang,Belanja Modal Kursi Rapat Pejabat,ON PROCESS,187101600,187101600
KAB. MALUKU TENGAH,RSUD SAPARUA - 1.02.0.00.0.00.03.0000,01KRYYKESEZ8MH0WJJW3JE733G,66463837,2026,E-Katalog 6.0,APBD,PERUSAHAAN PERSEROAN (PERSERO) PT KIMIA FARMA,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,874680,874680
KAB. MALUKU TENGAH,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.1.04.2.10.01.0000,10952051000,67290294,2026,Pencatatan,APBD,TOKO BUTON,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAKET SEDANG BERJALAN,7164000,0
KAB. MALUKU TENGAH,DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.01.0000,10329488000,43002827,2026,Swakelola,APBD,"Dinas Pemuda dan Olahraga, Dinas Pemuda dan Olahraga, Dinas Pemuda dan Olahraga, Dinas Pemuda dan Olahraga, Dinas Pemuda dan Olahraga, Dinas Pemuda dan Olahraga",,,Belanja Perjalanan Dinas Biasa,PAKET SEDANG BERJALAN,23941500,0
KAB. MALUKU TENGAH,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH - 5.02.0.00.0.00.01.0000,10335034000,42894350,2026,Swakelola,APBD,"Badan Pengelola Keuangan dan Aset Daerah, Badan Pengelola Keuangan dan Aset Daerah, Badan Pengelola Keuangan dan Aset Daerah, Badan Pengelola Keuangan dan Aset Daerah",,,"Belanja Jasa Pemasangan instalansi Telepon, Air, dan Listrik",PAKET SEDANG BERJALAN,7079670,0
KAB. MALUKU TENGAH,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KRFG9AGAKWD9NW60FCMK5CEX,65607967,2026,E-Katalog 6.0,APBD,GATRA PERSADA,E-Purchasing,Barang," Belanja Obat-Obatan-Obat-Obatan Lainnya",ON PROCESS,247296900,247296900
