nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. LAMPUNG BARAT,"SATUAN POLISI PAMONG PRAJA, PEMADAM KEBAKARAN DAN PENYELAMATAN - 1.05.0.00.0.00.05.0000",01KR2SWBDZWKB158Y0293APS6R,65690037,2026,E-Katalog 6.0,APBD,WIWIN ARYUDA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover ( Sekretariat Satpol PP ),COMPLETED,194972,194972
KAB. LAMPUNG BARAT,BAGIAN UMUM - 4.01.2.07.0.00.28.0008,01KK8KCYA6RYHTBX5QS7PZVB1F,65154600,2026,E-Katalog 6.0,APBD,SALIA SUKSES,E-Purchasing,Barang,Belanja Modal Meja Kerja Pejabat (Penyediaan Peralatan Rumah Tangga),COMPLETED,9213000,9213000
KAB. LAMPUNG BARAT,DINAS KOMUNIKASI DAN INFORMATIKA - 2.16.2.20.2.21.13.0000,01KSEK9DSF57JMREFBPV1F66WZ,65297985,2026,E-Katalog 6.0,APBD,TARAKAN MEDIA INDONESIA,E-Purchasing,Jasa Lainnya,"Belanja Jasa Iklan/Reklame, Film, dan Pemotretan (Relasi Media)",ON PROCESS,5000000,5000000
KAB. LAMPUNG BARAT,DINAS TENAGA KERJA DAN PERINDUSTRIAN - 2.07.3.31.0.00.01.0000,01KJYD5TCK4QDA4AT7F07NPVDB,65669086,2026,E-Katalog 6.0,APBD,SIGER FC,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor (Bidang Penempatan Tenaga Kerja),COMPLETED,1383000,1383000
KAB. LAMPUNG BARAT,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.01.0000,01KVPRKQTX28BAZ2XVVKJXAYHJ,66708895,2026,E-Katalog 6.0,APBD,ZULFIKAR HALIK,E-Purchasing,Barang,Pengadaan Perlengkapan Peserta Didik (PENGADAAN BUKU TULIS SD),ON PROCESS,223576200,223576200
KAB. LAMPUNG BARAT,DINAS PEMBERDAYAAN MASYARAKAT DAN PEKON - 2.13.0.00.0.00.10.0000,01KKETMPCTHMMHDZKQRJD53T21,65884285,2026,E-Katalog 6.0,APBD,USRIYANTO,E-Purchasing,Barang,Belanja Bahan Komputer- PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,COMPLETED,665000,665000
KAB. LAMPUNG BARAT,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KVW10A75YEF4PZFBG8KBNKM9,66763300,2026,E-Katalog 6.0,APBD,JON NISA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover (Bidang Kesehatan Masyarakat),ON PROCESS,1337661,1337661
KAB. LAMPUNG BARAT,"DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA - 2.19.3.26.0.00.16.0000",01KP3072YBHS9VHRV6H7Q5B36Z,65699127,2026,E-Katalog 6.0,APBD,SIGER FC,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor Bidang Pemasaran,COMPLETED,3940500,3940500
KAB. LAMPUNG BARAT,SEKRETARIAT DPRD - 4.02.0.00.0.00.27.0000,01KP7HQ79YRVS9A81HJM3XB4B4,66333850,2026,E-Katalog 6.0,APBD,MULTI MEDIA TEROPONG LAMPUNG,E-Purchasing,Jasa Lainnya,Advetorial surat kabat harian umum (SKHU) (Publikasi dan Dokumentasi DPRD),COMPLETED,5000000,5000000
KAB. LAMPUNG BARAT,DINAS PERKEBUNAN DAN PETERNAKAN - 3.27.0.00.0.00.20.0000,01KSH5RTM64CBZ43A0K5NE4BDE,65960065,2026,E-Katalog 6.0,APBD,AGIL RAMADHAN,E-Purchasing,Jasa Lainnya,"Belanja Jasa Tenaga Keamanan (Pengawasan dan Pemeriksaan Kesehatan Hewan, Produk Hewan dan Media Pembawa Penyakit Hewan Lainnya (HPM) di Perbatasan Tempat Pemeriksan HPM).epurchasing",COMPLETED,550000,550000
