nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. HALMAHERA TIMUR,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.1.03.0.00.01.0000,10785205000,63591725,2026,Non Tender,APBD,CV RINSATAMA CIPTA MANDIRI,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan dan Pengawasan Teknis Pembangunan Jalan Lingkungan di Desa Wayafli Kec. Maba_PK,SELESAI,90798000,90798000
KAB. HALMAHERA TIMUR,DINAS PERTANIAN - 3.27.0.00.0.00.01.0000,10863452000,67105915,2026,Non Tender,APBD,CV. BIMA STAR,Pengadaan Langsung,Pengadaan Barang,Pengadaan Bibit Anakan Durian Montong Di Kecamatan Wasile Utara Pkt 2,SELESAI,199100000,199100000
KAB. HALMAHERA TIMUR,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.1.03.0.00.01.0000,10920475000,67333644,2026,Non Tender,APBD,PT.MAKANAKO LINA INO,Penunjukan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Teknis Peningkatan jaringan spam Kecamatan Maba,SELESAI,194916000,194916000
KAB. HALMAHERA TIMUR,DINAS KETAHANAN PANGAN - 2.09.0.00.0.00.01.0000,01KWGHG6CQ9QK8EXCXVV490AR7,66051724,2026,E-Katalog 6.0,APBD,NASIRIN,E-Purchasing,Barang,Pengadaan Beras Subaim,ON PROCESS,609970400,609970400
KAB. HALMAHERA TIMUR,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.1.03.0.00.01.0000,10927357000,67370304,2026,Non Tender,APBD,CV. PUTRA ARENA MASA,Penunjukan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Teknis Peningkatan jaringan spam Kecamatan Kota Maba,SELESAI,198024000,198024000
KAB. HALMAHERA TIMUR,SEKRETARIAT DPRD - 4.02.0.00.0.00.01.0000,01KSATAH41QRZRWM91NKY4CD02,66612222,2026,E-Katalog 6.0,APBD,PRIMA NAGARA,E-Purchasing,Barang,Pengadaan Videotron Indoor Ruang Rapat Kantor DPRD,ON PROCESS,476012400,476012400
KAB. HALMAHERA TIMUR,RUMAH SAKIT UMUM DAERAH - 1.02.0.00.0.00.02.0000,01KQXJ3HEZ31GAAR0P01TQHKHV,64669158,2026,E-Katalog 6.0,APBD,PERUSAHAAN PERSEROAN (PERSERO) PT KIMIA FARMA,E-Purchasing,Barang,Pengadaan Obat-Obatan-Obat,ON PROCESS,7725600,7725600
KAB. HALMAHERA TIMUR,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KRFFPNQG0F0E3WRTB4A65ECC,65159620,2026,E-Katalog 6.0,APBD,HEXPHARM JAYA LABORATORIES,E-Purchasing,Barang,Belanja Obat-Obatan-Obat,ON PROCESS,103029090,103029090
KAB. HALMAHERA TIMUR,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.1.03.0.00.01.0000,10139661000,66550485,2026,Tender,APBD,CV. CITRA VISI,Tender,Pekerjaan Konstruksi,Penataan dan Peningkatan Jalan Lingkungan Kantor Bupati Kabupaten Halmahera Timur,SELESAI,2087297454,2087297454
KAB. HALMAHERA TIMUR,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH - 5.02.0.00.0.00.01.0000,10139951000,65490930,2026,Tender,APBD,CV IBNU KARYA UTAMA,Tender,Pekerjaan Konstruksi,Pembangunan Gudang BPKAD,SELESAI,2140000000,2140000000
