nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. MANOKWARI,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,10139401000,67154742,2026,Tender,APBD,CV. ROON STAR,Tender,Pekerjaan Konstruksi,Pembangunan Puskesmas Wosi,SELESAI,8393192933,8393192933
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10821335000,66861203,2026,Non Tender,APBD,CV.AMAZING PAPUA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Teknis Pembangunan Jalan Kampung Ambon - Sarina,SELESAI,174367014,174367014
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10821348000,66856748,2026,Non Tender,APBD,BIRO KONSULTAN TEKNIK ESTETICA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Perencanaan Teknis Jalan SP.3 Wasegi Pop (Dana DBH Sawit),SELESAI,119800191,119800191
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10898505000,67260695,2026,Non Tender,APBD,CV.AMAZING PAPUA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Pembangunan Sumur Bor (Air Bersih)  (DTI),SELESAI,49717122,49717122
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10858418000,67094853,2026,Non Tender,APBD,PT. RAHMAT PUTRA PAPUATAMA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Non Konstruksi,Ortofikasi dan Evaluasi Peta Dasar BIG (PERKOTAAN MANOKWARI),SELESAI,197469000,197469000
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10821347000,66856752,2026,Non Tender,APBD,CV.AMAZING PAPUA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Perencanaan Teknis Peningkatan Jalan Lingkar RTP Borarsi,SELESAI,174533514,174533514
KAB. MANOKWARI,DINAS PERUMAHAN DAN KAWASAN PEMUKIMAN - 1.04.0.00.0.00.01.0000,10910751000,66691305,2026,Non Tender,APBD,CV. Soribo Jaya Papua,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Jalan Lingkungan di SP 6,SELESAI,499709501,499709501
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10865605000,67129803,2026,Non Tender,APBD,BIRO KONSULTAN TEKNIK ESTETICA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Rehabilitasi Gedung DPRK Manokwari,SELESAI,49728000,49728000
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10138115000,66856761,2026,Tender,APBD,CV. ASTADIVA PAPUA,Tender,Pekerjaan Konstruksi,Peningkatan Jalan Lingkar RTP BORARSI (JALAN BANDUNG),SELESAI,5821716000,5821716000
KAB. MANOKWARI,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN - 1.03.2.15.0.00.01.0000",10931430000,66856757,2026,Non Tender,APBD,CV.AMAZING PAPUA CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Pengawasan Teknis Jalan SP.3 Wasegi Pop (Dana DBH Sawit),BERLANGSUNG,79828425,79828425
