nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KEMENTERIAN PERINDUSTRIAN,DIREKTORAT JENDERAL INDUSTRI KECIL MENENGAH DAN ANEKA - 247949,10808969000,66474059,2026,Non Tender,APBN,PT.MUTIARA ZAHRA ABADI,Pengadaan Langsung,Jasa Lainnya,Workshop E-Smart IKM LMEA di Sumatera Utara,SELESAI,140592600,140592600
KEMENTERIAN PERINDUSTRIAN,BALAI STANDARDISASI DAN PELAYANAN JASA INDUSTRI LAMPUNG - 539060,01KRCX8ADDT3RPXW3GBFFG2VR5,62963935,2026,E-Katalog 6.0,APBN,CITRA DATA NUSANTARA,E-Purchasing,Barang,SARANA PERKANTORAN,COMPLETED,43800600,43800600
KEMENTERIAN PERINDUSTRIAN,POLITEKNIK STMI JAKARTA - 579350,10832457000,66778979,2026,Non Tender,APBN,PT. Dian Kharisman ZR,Pengadaan Langsung,Pengadaan Barang,Pengadaan Bahan Praktikum PPMIO 1 dan 2 Prodi TIO Politeknik STMI Jakarta Tahun Anggaran 2026,SELESAI,66898856,0
KEMENTERIAN PERINDUSTRIAN,SEKRETARIAT JENDERAL - 247101,5327090,,2026,Tokodaring,,,E-Purchasing,Pengadaan Barang,,,2488842,2488842
KEMENTERIAN PERINDUSTRIAN,DIREKTORAT JENDERAL KETAHANAN PERWILAYAHAN DAN AKSES INDUSTRI INTERNASIONAL - 248039,10772767000,65221832,2026,Non Tender,APBN,PT. AVKHA PUTRA LESTARI,Pengadaan Langsung,Jasa Lainnya,Workshop Peningkatan Daya Saing Industri Plant Extract untuk Memasuki Rantai SupplaiGlobal,SELESAI,74887538,74887538
KEMENTERIAN PERINDUSTRIAN,BALAI STANDARDISASI DAN PELAYANAN JASA INDUSTRI SURABAYA - 247211,01KT8WWNNVGJH9JCV6WTHBXY56,63149290,2026,E-Katalog 6.0,APBN,ARKA JAYA,E-Purchasing,Barang,ATK (belanja Perkantoran),PAYMENT OUTSIDE SYSTEM,15815613,15815613
KEMENTERIAN PERINDUSTRIAN,BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI BAHAN DAN BARANG TEKNIK - 247140,01KRWY0DVP61GT8YZRRENH4Z3Z,66598965,2026,E-Katalog 6.0,APBN,BIMA KURNIA,E-Purchasing,Barang,Data Logger,ON PROCESS,48673500,0
KEMENTERIAN PERINDUSTRIAN,POLITEKNIK ATI PADANG - 579359,01KN4KA6WS6E6N6ESTVS937H3A,66226629,2026,E-Katalog 6.0,APBN,SINAR INSANI TENAGAWIRASTA,E-Purchasing,Jasa Lainnya,Belanja Jasa Lainnya Keg Operasional Satker,COMPLETED,31959999,31959999
KEMENTERIAN PERINDUSTRIAN,POLITEKNIK AKA BOGOR - 579331,01KGH557K2A3T98AX6T1T7NE4F,64787462,2026,E-Katalog 6.0,APBN,JATI PERKASA MANDIRI,E-Purchasing,Barang,Pengadaan Bahan Kimia Reguler,PAYMENT OUTSIDE SYSTEM,50194422,50194422
KEMENTERIAN PERINDUSTRIAN,BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI AGRO - 247136,01KPSFYSZXHENJK2ZDQW06DDS9,64653236,2026,E-Katalog 6.0,APBN,UNITAMA ANALITIKA PERKASA,E-Purchasing,Jasa Lainnya,Belanja Pemeliharaan,ON PROCESS,90599310,0
KEMENTERIAN PERINDUSTRIAN,BALAI STANDARDISASI DAN PELAYANAN JASA INDUSTRI MANADO - 247246,01KKG1BQGMD9WXN2DP8QA5FXZJ,66396309,2026,E-Katalog 6.0,APBN,ARCO SAMUDRA PERKASA,E-Purchasing,Jasa Lainnya,Honorarium Petugas Kebersihan dan Pramubakti Sulawesi Utara,ON PROCESS,193500004,193500004
KEMENTERIAN PERINDUSTRIAN,POLITEKNIK TEKNOLOGI KIMIA INDUSTRI MEDAN - 579346,01KNGPWMRJGJQ41MRKCJPA8GT4,66813629,2026,E-Katalog 6.0,APBN,PERURI WIRA TIMUR,E-Purchasing,Barang,Pencetakan Transkip ,PAYMENT OUTSIDE SYSTEM,29137500,29137500
KEMENTERIAN PERINDUSTRIAN,SEKRETARIAT JENDERAL - 247101,01KP2WQYKZZK7JHQEZH1PFMMMP,66700813,2026,E-Katalog 6.0,APBN,FAVELL INDO UTAMA,E-Purchasing,Barang,Pengadaan Peralatan dan Mesin Sekretariat Jenderal ,COMPLETED,67782150,67782150
KEMENTERIAN PERINDUSTRIAN,SEKRETARIAT JENDERAL - 247101,5624639,,2026,Tokodaring,,,E-Purchasing,Pengadaan Barang,,,5956704,5956704
KEMENTERIAN PERINDUSTRIAN,SEKOLAH MENENGAH KEJURUAN-SMTI PADANG - 579355,5654271,,2026,Tokodaring,,,E-Purchasing,Pengadaan Barang,,,49950000,49950000
KEMENTERIAN PERINDUSTRIAN,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA INDUSTRI - 579361,01KH2QGJ5WV6HFN9RT14VMPB51,65274802,2026,E-Katalog 6.0,APBN,CAHAYA INDAH SAWANG,E-Purchasing,Barang,Pengadaan ATK dan Computer Supplies Layanan Perkantoran,ON PROCESS,19991500,19991500
KEMENTERIAN PERINDUSTRIAN,BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI KERAMIK DAN MINERAL NONLOGAM - 247157,01KFWRQQ9A0KB16JDWGS08N60Z,63348423,2026,E-Katalog 6.0,APBN,AYOOKLIK PARAHYANGAN PERKASA,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin,COMPLETED,177260001,177260001
KEMENTERIAN PERINDUSTRIAN,DIREKTORAT JENDERAL INDUSTRI KECIL MENENGAH DAN ANEKA - 247949,10803803000,64781510,2026,Non Tender,APBN,CV. MAKSIMA ARTHA WIGUNA,Pengadaan Langsung,Jasa Lainnya,Pendampingan Teknis Produksi dan Sistem Keamanan Pangan Produk  Olahan Komoditas Kelapa di Gorontalo,SELESAI,199603530,199603530
KEMENTERIAN PERINDUSTRIAN,AKADEMI KOMUNITAS INDUSTRI MANUFAKTUR BANTAENG - 579348,01KEAWTX77M4RH7JW86YE415CS,62601228,2026,E-Katalog 6.0,APBN,SULAWESI MANDIRI PRATAMA,E-Purchasing,Jasa Lainnya,Honor Pengemudi,ON PROCESS,39960000,39960000
KEMENTERIAN PERINDUSTRIAN,SEKOLAH MENENGAH KEJURUAN-SMTI YOGYAKARTA - 579334,01KNNNWZC9QWX83VBC6CA2BMZV,62722863,2026,E-Katalog 6.0,APBN,GOLDEN KIRANA,E-Purchasing,Barang,Pengadaan Alat Mold and Dies Level Dasar,COMPLETED,2775000,2775000
KEMENTERIAN PERINDUSTRIAN,POLITEKNIK AKA BOGOR - 579331,10903040000,62631839,2026,Pencatatan,APBN,Teguh Pujiadi,Penunjukan Langsung,Jasa Lainnya,Pemeliharaan instalasi gas,PAKET SEDANG BERJALAN,3554220,3554220
